repository_url,user_login,user_name,user_location,pull_number,pull_current_state,pull_creation_date,pull_closing_date,pull_merged,pull_merge_date,pull_comment_count
KhronosGroup/WebGL,kenrussell,Ken Russell,"Mountain View, CA",3292,open,2021-06-15 18:22:31,,False,,7
KhronosGroup/WebGL,kenrussell,Ken Russell,"Mountain View, CA",3274,open,2021-04-06 05:11:17,,False,,2
KhronosGroup/WebGL,jdashg,Jeff Gilbert,US Pacific Time,3225,open,2021-03-05 00:32:03,,False,,2
KhronosGroup/WebGL,jdashg,Jeff Gilbert,US Pacific Time,3222,open,2021-03-03 21:14:48,,False,,17
KhronosGroup/WebGL,jdashg,Jeff Gilbert,US Pacific Time,3159,open,2020-10-05 23:53:11,,False,,0
KhronosGroup/WebGL,raytranuk,Ray Tran,,3144,open,2020-08-28 16:23:12,,False,,0
KhronosGroup/WebGL,jdashg,Jeff Gilbert,US Pacific Time,2984,open,2019-12-06 02:02:37,,False,,1
KhronosGroup/WebGL,jdashg,Jeff Gilbert,US Pacific Time,2822,open,2019-03-05 21:35:59,,False,,0
KhronosGroup/WebGL,jdashg,Jeff Gilbert,US Pacific Time,2816,open,2019-03-04 23:39:04,,False,,0
KhronosGroup/WebGL,kainino0x,Kai Ninomiya,California,2718,open,2018-09-26 06:37:28,,False,,0
KhronosGroup/WebGL,jdashg,Jeff Gilbert,US Pacific Time,2564,open,2017-12-19 08:10:28,,False,,1
KhronosGroup/WebGL,tharkum,Andrei Volykhin,Saint-Petersburg,2511,open,2017-09-19 03:27:58,,False,,13
KhronosGroup/WebGL,greggman,Greggman,Earth,2349,open,2017-03-25 01:59:18,,False,,10
KhronosGroup/WebGL,grorg,Dean Jackson,,2338,open,2017-03-16 17:52:22,,False,,0
KhronosGroup/WebGL,kenrussell,Ken Russell,"Mountain View, CA",3291,closed,2021-06-11 20:39:50,2021-06-11 20:43:52,True,2021-06-11 20:43:52,0
KhronosGroup/WebGL,kenrussell,Ken Russell,"Mountain View, CA",3289,closed,2021-06-09 00:02:58,2021-06-10 23:36:09,True,2021-06-10 23:36:08,0
KhronosGroup/WebGL,dalecurtis,Dale Curtis,"Seattle, WA",3288,closed,2021-06-01 23:02:13,2021-06-03 18:27:21,True,2021-06-03 18:27:21,0
KhronosGroup/WebGL,kenrussell,Ken Russell,"Mountain View, CA",3287,closed,2021-05-26 23:23:27,2021-05-26 23:38:14,True,2021-05-26 23:38:14,0
KhronosGroup/WebGL,kenrussell,Ken Russell,"Mountain View, CA",3286,closed,2021-05-18 22:26:22,2021-05-18 22:58:02,True,2021-05-18 22:58:02,0
