repository_url,user_login,user_name,n_pr_before_coc,n_pr_after_coc
fsprojects/Fantomas,DedSec256,Alex Berezhnykh,0,1
fsprojects/Fantomas,nojaf,Florian Verdonck,186,430
fsprojects/Fantomas,pbiggar,Paul Biggar,0,3
fsprojects/Fantomas,stanciuadrian,Adrian Stanciu,0,1
fsprojects/Fantomas,rehael,Marcin W. Dąbrowski,0,1
fsprojects/Fantomas,cxa,Realazy Xian-an CHEN,0,1
fsprojects/Fantomas,piaste,,0,1
fsprojects/Fantomas,auduchinok,Eugene Auduchinok,6,1
fsprojects/Fantomas,vain0x,vain0x,0,2
fsprojects/Fantomas,svdijk,,0,1
fsprojects/Fantomas,theothornhill,Theodor Thornhill,0,3
fsprojects/Fantomas,ursenzler,Urs Enzler,0,1
fsprojects/Fantomas,josh-degraw,Josh DeGraw,0,1
fsprojects/Fantomas,johlrich,Jonathan Ohlrich,0,1
fsprojects/Fantomas,btzo,Mike Bottazzo,0,4
fsprojects/Fantomas,knocte,Andres G. Aragoneses,3,7
fsprojects/Fantomas,HumbertoCortes,Humberto,0,3
fsprojects/Fantomas,Evangelink,Amaury Levé,0,1
fsprojects/Fantomas,suside,Maciej Filipiak,0,1
fsprojects/Fantomas,samarsha,Sarah Marshall,0,1
fsprojects/Fantomas,ThisFunctionalTom,Tomas Leko,0,1
fsprojects/Fantomas,baronfel,Chet Husk,6,3
fsprojects/Fantomas,WalternativE,Gregor Beyerle,0,1
fsprojects/Fantomas,ShalokShalom,ShalokShalom,0,1
fsprojects/Fantomas,aarani,Afshin Arani,0,1
fsprojects/Fantomas,deviousasti,Asti,0,5
fsprojects/Fantomas,Fizzixnerd,Matt Walker,0,3
fsprojects/Fantomas,gihyeonsung,,0,1
fsprojects/Fantomas,josefblaha,Josef Bláha,0,1
fsprojects/Fantomas,Bobface,Alexander Schlindwein,7,2
fsprojects/Fantomas,jindraivanek,Jindřich Ivánek,49,5
fsprojects/Fantomas,Thorium,Tuomas Hietanen,0,1
fsprojects/Fantomas,jasondown,Jason Down,0,1
fsprojects/Fantomas,c-rindi,C~+,1,0
fsprojects/Fantomas,kontomondo,,2,0
fsprojects/Fantomas,matteobaglini,Matteo Baglini,1,0
fsprojects/Fantomas,ErikSchierboom,Erik Schierboom,3,0
fsprojects/Fantomas,panesofglass,Ryan Riley,1,0
fsprojects/Fantomas,drhumlen,Niklas HH,1,0
fsprojects/Fantomas,Szer,Ayrat Hudaygulov,1,0
fsprojects/Fantomas,isaevdan,,1,0
fsprojects/Fantomas,tcallan,,1,0
fsprojects/Fantomas,Thecentury,Mikhail Brinchuk,1,0
fsprojects/Fantomas,lpedrosa,Luis Pedrosa,2,0
fsprojects/Fantomas,theimowski,Tomasz Heimowski,5,0
fsprojects/Fantomas,VelocityRa,Nick Renieris,2,0
fsprojects/Fantomas,smoothdeveloper,Gauthier Segay,6,0
fsprojects/Fantomas,gitter-badger,The Gitter Badger,1,0
fsprojects/Fantomas,sasmithjr,Stephen Smith,2,0
fsprojects/Fantomas,JackMatusiewicz,Jack Matusiewicz,1,0
fsprojects/Fantomas,nosami,Jason Imison,1,0
fsprojects/Fantomas,prosconi,Peter Rosconi,1,0
fsprojects/Fantomas,tathanhdinh,Ta Thanh Dinh,1,0
fsprojects/Fantomas,7sharp9,Dave Thomas,4,0
fsprojects/Fantomas,alfonsogarciacaro,Alfonso Garcia-Caro,1,0
fsprojects/Fantomas,kkm000,Cy 'kkm' Katsnelson,1,0
fsprojects/Fantomas,vasily-kirichenko,Vasily Kirichenko,2,0
fsprojects/Fantomas,s-trooper,,4,0
fsprojects/Fantomas,ThibaultLemaire,Thibault Lemaire,1,0
fsprojects/Fantomas,danyx23,Daniel Bachler,1,0
fsprojects/Fantomas,dungpa,Anh-Dung Phan,24,0
fsprojects/Fantomas,odytrice,Ody Mbegbu,1,0
fsprojects/Fantomas,teo-tsirpanis,Theodore Tsirpanis,1,0
fsprojects/Fantomas,kbatoev,Konstantin Batoev,1,0
fsprojects/Fantomas,ForNeVeR,Friedrich von Never,2,0
fsprojects/Fantomas,zakaluka,,1,0
fsprojects/Fantomas,OkayX6,Denis Ok,3,0
fsprojects/Fantomas,basarat,Basarat Ali Syed,1,0
fsprojects/Fantomas,varon,,1,0
fsprojects/Fantomas,amazingant,Anthony Perez,1,0
fsprojects/Fantomas,roosmaa,Mart Roosmaa,1,0
fsprojects/Fantomas,bartelink,Ruben Bartelink,1,0
fsprojects/Fantomas,mexx,Max Malook,1,0
fsprojects/Fantomas,jskripsky,Juraj Skripsky,1,0
fsprojects/Fantomas,enricosada,Enrico Sada,1,0
fsprojects/Fantomas,ovatsus,Gustavo Guerra,12,0
fsprojects/Fantomas,jaredpar,Jared Parsons,4,0
fsprojects/Fantomas,ghost,Deleted user,2,0
fsprojects/Fantomas,itowlson,,1,0
fsprojects/Fantomas,forki,Steffen Forkmann,10,0
fsprojects/Fantomas,jack-pappas,Jack Pappas,1,0
