repository_url,user_login,user_name,n_pr_before_coc,n_pr_after_coc
PowerShell/PowerShell,octos4murai,Al Idian,0,1
PowerShell/PowerShell,iSazonov,Ilya,75,419
PowerShell/PowerShell,joeyaiello,Joey Aiello,12,11
PowerShell/PowerShell,TravisEz13,Travis Plunk,47,438
PowerShell/PowerShell,daxian-dbw,Dongbo Wang,107,367
PowerShell/PowerShell,davidBar-On,David Bar-On,0,5
PowerShell/PowerShell,Dj-Javi,,0,1
PowerShell/PowerShell,Fs00,Francesco Saltori,0,3
PowerShell/PowerShell,SteveL-MSFT,Steve Lee,80,446
PowerShell/PowerShell,na632,,0,1
PowerShell/PowerShell,krishnayalavarthi,,0,11
PowerShell/PowerShell,JamesWTruher,James Truher [MSFT],57,66
PowerShell/PowerShell,theJasonHelmick,Jason Helmick,0,1
PowerShell/PowerShell,MartinGC94,,0,7
PowerShell/PowerShell,nohwnd,Jakub Jareš,0,3
PowerShell/PowerShell,bergmeister,Christoph Bergmeister [MVP],0,93
PowerShell/PowerShell,rpolley,Ryan Polley,0,1
PowerShell/PowerShell,Jaykul,Joel Bennett,0,3
PowerShell/PowerShell,xtqqczze,,0,339
PowerShell/PowerShell,mklement0,Michael Klement,3,14
PowerShell/PowerShell,rjmholt,Robert Holt,3,75
PowerShell/PowerShell,Jawz84,Jos Koelewijn,0,3
PowerShell/PowerShell,powercode,Staffan Gustafsson,18,84
PowerShell/PowerShell,Gimly,Xavier Hahn,0,4
PowerShell/PowerShell,bcwood,Brandon Wood,0,9
PowerShell/PowerShell,ThomasNieto,Thomas Nieto,0,17
PowerShell/PowerShell,eugenesmlv,Eugene Samoylov,0,3
PowerShell/PowerShell,Joe-Zer0,,0,1
PowerShell/PowerShell,vexx32,Joel Sallow (/u/ta11ow),0,58
PowerShell/PowerShell,yecril71pl,Christopher Yeleighton,0,9
PowerShell/PowerShell,therajdeepbiswas,Rajdeep Biswas,0,1
PowerShell/PowerShell,thlac,Thomas Larsen,0,2
PowerShell/PowerShell,BrannenGH,Brannen Hall,0,1
PowerShell/PowerShell,m5x,Martin Dvořák,0,1
PowerShell/PowerShell,NoMoreFood,Bryan Berns,0,4
PowerShell/PowerShell,Peter-Schneider,Peter Schneider,0,1
PowerShell/PowerShell,ivanshen,Ivan Shen,0,2
PowerShell/PowerShell,jackdcasey,Jack Casey,0,5
PowerShell/PowerShell,msftrncs,Carl Morris,0,6
PowerShell/PowerShell,ChrisLGardner,Chris Gardner,0,2
PowerShell/PowerShell,kwkam,,0,20
PowerShell/PowerShell,schuelermine,Anselm Schüler,0,3
PowerShell/PowerShell,anmenaga,Andrew,8,44
PowerShell/PowerShell,adityapatwardhan,Aditya Patwardhan,44,296
PowerShell/PowerShell,aofaof0907,aof aof,0,2
PowerShell/PowerShell,eltociear,Ikko Ashimine,0,1
PowerShell/PowerShell,adamsitnik,Adam Sitnik,0,1
PowerShell/PowerShell,batmansdad37,,0,1
PowerShell/PowerShell,dbaileyut,,0,1
PowerShell/PowerShell,PaulHigin,Paul Higinbotham,27,66
PowerShell/PowerShell,kvprasoon,PRASOON KARUNAN V,0,26
PowerShell/PowerShell,Sulltiss,,0,1
PowerShell/PowerShell,anamnavi,Anam Navied,0,8
PowerShell/PowerShell,ZhiZe-ZG,,0,1
PowerShell/PowerShell,JustinGrote,Justin Grote,0,2
PowerShell/PowerShell,PDQDakota,Dakota Clark,0,1
PowerShell/PowerShell,Aravind00095,Aravind,0,1
PowerShell/PowerShell,jazzdelightsme,Dan Thompson,0,6
PowerShell/PowerShell,GitG33,,0,2
PowerShell/PowerShell,Bandranews,,0,1
PowerShell/PowerShell,MarianoAlipi,Mariano Alipi,0,1
PowerShell/PowerShell,TylerLeonhardt,Tyler James Leonhardt,0,22
PowerShell/PowerShell,hez2010,Steve,0,2
PowerShell/PowerShell,B4Art,Bart van den Donk,0,1
PowerShell/PowerShell,imba-tjd,谭九鼎,0,2
PowerShell/PowerShell,PsychoData,Kevin Crouch,0,1
PowerShell/PowerShell,awakecoding,Marc-André Moreau,0,1
PowerShell/PowerShell,dinhngtu,,0,1
PowerShell/PowerShell,Boidushya,Boidushya,0,1
PowerShell/PowerShell,brianary,Brian Lalonde,0,2
PowerShell/PowerShell,romero126,,0,6
PowerShell/PowerShell,MikeShepard,Mike Shepard,0,1
PowerShell/PowerShell,wbhsm,Fight tiger,0,1
PowerShell/PowerShell,sri-ka1ki,G Bee,0,1
PowerShell/PowerShell,RDIL,Reece Dunham,0,89
PowerShell/PowerShell,matthewjdegarmo,Matthew J. DeGarmo,0,1
PowerShell/PowerShell,hbuckle,Henry Buckle,0,1
PowerShell/PowerShell,kyanha,Kyle H,0,3
PowerShell/PowerShell,paul-cheung,paul cheung,0,1
PowerShell/PowerShell,mkswd,Marcos Ramos,0,5
PowerShell/PowerShell,PatLeong,Pat Leong,0,2
PowerShell/PowerShell,georgettica,Ron Green,0,3
PowerShell/PowerShell,mbpreble,,0,1
PowerShell/PowerShell,jborean93,Jordan Borean,0,1
PowerShell/PowerShell,fMichaleczek,Flavien,0,2
PowerShell/PowerShell,sdwheeler,Sean Wheeler,0,5
PowerShell/PowerShell,dgoldman-msft,Dave Goldman,0,4
PowerShell/PowerShell,hubuk,Hubert Bukowski,0,4
PowerShell/PowerShell,bmkaiser,Brian,0,1
PowerShell/PowerShell,heaths,Heath Stewart,0,2
PowerShell/PowerShell,jakekerr,Jake,0,2
PowerShell/PowerShell,soccypowa,Fredrik Nilsson,0,1
PowerShell/PowerShell,davidreis97,David Reis,0,1
PowerShell/PowerShell,tamasvajk,Tamás Vajk,0,1
PowerShell/PowerShell,Artoria2e5,Mingye Wang,0,2
PowerShell/PowerShell,Youssef1313,Youssef Victor,0,1
PowerShell/PowerShell,joopjaeng,เซงเป็ด,0,1
PowerShell/PowerShell,hemisphera,The Dumb,0,1
PowerShell/PowerShell,sethvs,Sergey Vasin,0,38
PowerShell/PowerShell,tasnimzotder,Tasnim Zotder,0,2
PowerShell/PowerShell,alerickson,,0,2
PowerShell/PowerShell,brcrista,Brian Cristante,0,1
PowerShell/PowerShell,WorrenB,,0,1
PowerShell/PowerShell,cdhunt,Chris Hunt,0,1
PowerShell/PowerShell,Shriram0908,Shri Ram K S,0,4
PowerShell/PowerShell,sar,Sar Malik,0,1
PowerShell/PowerShell,aetos382,aetos,0,1
PowerShell/PowerShell,77,,0,1
PowerShell/PowerShell,Liturgist,Paul Watson,0,3
PowerShell/PowerShell,thomasrayner,Thomas Rayner,0,1
PowerShell/PowerShell,machv,Vladimír,0,1
PowerShell/PowerShell,reynoldsbd,Bobby Reynolds,0,1
PowerShell/PowerShell,IISResetMe,Mathias R. Jessen,1,18
PowerShell/PowerShell,UI221223,UI221223,0,1
PowerShell/PowerShell,corbob,,0,1
PowerShell/PowerShell,Maamue,,0,1
PowerShell/PowerShell,kilasuit,Ryan Yates,3,5
PowerShell/PowerShell,teo-tsirpanis,Theodore Tsirpanis,0,1
PowerShell/PowerShell,jcotton42,Josh Cotton,0,1
PowerShell/PowerShell,HumanEquivalentUnit,,0,1
PowerShell/PowerShell,davidseibel,David Seibel,0,1
PowerShell/PowerShell,tats-u,Tatsunori Uchino,0,1
PowerShell/PowerShell,parameshbabu,Paramesh Babu,0,1
PowerShell/PowerShell,nikkiomalley1123,,0,1
PowerShell/PowerShell,ShaydeNofziger,Shayde Nofziger,0,2
PowerShell/PowerShell,SydneyhSmith,Sydney Smith,0,5
PowerShell/PowerShell,fdawlat,,0,2
PowerShell/PowerShell,devlead,Mattias Karlsson,0,1
PowerShell/PowerShell,DamirAinullin,Damir Ainullin,1,2
PowerShell/PowerShell,LabhanshAgrawal,Labhansh Agrawal,0,1
PowerShell/PowerShell,vikramkapoor80,,0,2
PowerShell/PowerShell,KirkMunro,Kirk Munro,3,41
PowerShell/PowerShell,beatcracker,,0,1
PowerShell/PowerShell,alexandair,Aleksandar Nikolić,29,5
PowerShell/PowerShell,alepauly,Alejandro Pauly,0,1
PowerShell/PowerShell,kevinoid,Kevin Locke,0,1
PowerShell/PowerShell,nxtn,Next Turn,0,3
PowerShell/PowerShell,devopstrainer1,,0,1
PowerShell/PowerShell,MatthewShea35,,0,1
PowerShell/PowerShell,joeltankam,Joël Tankam,0,1
PowerShell/PowerShell,Marusyk,Roman Marusyk,0,2
PowerShell/PowerShell,alex-frankel,Alex Frankel,0,1
PowerShell/PowerShell,mikeTWC1984,,0,1
PowerShell/PowerShell,brendandburns,Brendan Burns,0,4
PowerShell/PowerShell,RandomNoun7,Bill Hurt,0,1
PowerShell/PowerShell,paalbra,Paal Braathen,0,2
PowerShell/PowerShell,LucaFilipozzi,Luca Filipozzi,0,2
PowerShell/PowerShell,OneScripter,Jay Adams,0,1
PowerShell/PowerShell,Beagall,,0,1
PowerShell/PowerShell,p0W3RH311,,0,3
PowerShell/PowerShell,h93xV2,,0,1
PowerShell/PowerShell,rkeithhill,Keith Hill,4,9
PowerShell/PowerShell,rkitover,Rafael Kitover,0,1
PowerShell/PowerShell,spongemike2,,0,1
PowerShell/PowerShell,bpayette,Bruce Payette,0,1
PowerShell/PowerShell,doctordns,Thomas Lee,0,1
PowerShell/PowerShell,Francisco-Gamino,Francisco Gamino,15,1
