repository_url,user_login,user_name,n_pr_before_coc,n_pr_after_coc
KhronosGroup/WebGL,kenrussell,Ken Russell,426,85
KhronosGroup/WebGL,jdashg,Jeff Gilbert,94,108
KhronosGroup/WebGL,raytranuk,Ray Tran,0,2
KhronosGroup/WebGL,kainino0x,Kai Ninomiya,71,9
KhronosGroup/WebGL,tharkum,Andrei Volykhin,1,0
KhronosGroup/WebGL,greggman,Greggman,126,5
KhronosGroup/WebGL,grorg,Dean Jackson,26,6
KhronosGroup/WebGL,dalecurtis,Dale Curtis,0,6
KhronosGroup/WebGL,jdarpinian,James Darpinian,10,23
KhronosGroup/WebGL,Some1NamedNate,Nathan Umali,0,1
KhronosGroup/WebGL,autokagami,,0,47
KhronosGroup/WebGL,shrekshao,ShrekShao,0,55
KhronosGroup/WebGL,lexaknyazev,Alexey Knyazev,0,19
KhronosGroup/WebGL,tguilbert-google,Thomas Guilbert,0,2
KhronosGroup/WebGL,RRRichardLi,Richard Li,0,1
KhronosGroup/WebGL,vednoc,vednoc,0,1
KhronosGroup/WebGL,outofcontrol,James Riordon,0,2
KhronosGroup/WebGL,jchen10,Jie Chen,10,5
KhronosGroup/WebGL,nihohit,,0,1
KhronosGroup/WebGL,saschanaz,Kagami Sascha Rosylight,0,7
KhronosGroup/WebGL,sugoi1,,2,3
KhronosGroup/WebGL,krogovin,,0,1
KhronosGroup/WebGL,nkronlage,,2,1
KhronosGroup/WebGL,shaoboyan,"Yan, Shaobo",0,5
KhronosGroup/WebGL,RafaelCintron,Rafael Cintron,22,1
KhronosGroup/WebGL,samsinsane,Samuel Surtees,0,1
KhronosGroup/WebGL,domenic,Domenic Denicola,1,1
KhronosGroup/WebGL,Jiawei-Shao,Jiawei Shao,23,2
KhronosGroup/WebGL,Violet26,The Little Things,0,1
KhronosGroup/WebGL,themikelester,Mike Lester,0,1
KhronosGroup/WebGL,MichalKrasowski,Michał Krasowski,0,2
KhronosGroup/WebGL,hujiajie,Jiajie Hu,0,1
KhronosGroup/WebGL,jaibeer72,Jaibeer  S Dugal,0,1
KhronosGroup/WebGL,mmatyas,Mátyás Mustoha,0,1
KhronosGroup/WebGL,xhcao,,18,2
KhronosGroup/WebGL,austinEng,Austin Eng,0,5
KhronosGroup/WebGL,jonahryandavis,,0,1
KhronosGroup/WebGL,imiklos,Istvan Miklos,0,1
KhronosGroup/WebGL,fernandojsg,Fernando Serrano,0,2
KhronosGroup/WebGL,ProgramMax,Chris Blume,0,1
KhronosGroup/WebGL,tobine,Tobin Ehlis,0,1
KhronosGroup/WebGL,fritzk,Fritz Koenig,0,1
KhronosGroup/WebGL,aardgoose,,0,1
KhronosGroup/WebGL,dyna-dot,Srikanth Gokavarapu,0,1
KhronosGroup/WebGL,JasperNV,,0,2
KhronosGroup/WebGL,mingyuhu,,0,2
KhronosGroup/WebGL,Richard-Yunchao,Yunchao He,149,4
KhronosGroup/WebGL,haoyunfeix,Hao Yunfei,0,2
KhronosGroup/WebGL,y-novikov,,1,1
KhronosGroup/WebGL,riju,Rijubrata Bhaumik,0,1
KhronosGroup/WebGL,mosra,Vladimír Vondruš,0,1
KhronosGroup/WebGL,mbrodesser,,0,1
KhronosGroup/WebGL,mysteryDate,Aaron Krajeski,0,1
KhronosGroup/WebGL,null77,Jamie Madill,10,3
KhronosGroup/WebGL,natashalee,,0,2
KhronosGroup/WebGL,zhenyao,,355,1
KhronosGroup/WebGL,imirkin,Ilia Mirkin,1,1
KhronosGroup/WebGL,Oletus,Olli Etuaho,321,0
KhronosGroup/WebGL,AshleyScirra,Ashley (Scirra),3,0
KhronosGroup/WebGL,nox,Anthony Ramine,2,0
KhronosGroup/WebGL,qjia7,Jiajia Qin,9,0
KhronosGroup/WebGL,jackohound,Jeff Leger,1,0
KhronosGroup/WebGL,JusSn,Justin Fan,1,0
KhronosGroup/WebGL,etisdew,etisdew,1,0
KhronosGroup/WebGL,patrto,Patrick To,4,0
KhronosGroup/WebGL,derry19,Deyi Li,3,0
KhronosGroup/WebGL,vikaschromie,vikas soni,2,0
KhronosGroup/WebGL,tsherif,Tarek Sherif,5,0
KhronosGroup/WebGL,romandev,Jinho Bang,2,0
KhronosGroup/WebGL,JiangYizhou,Yizhou Jiang,12,0
KhronosGroup/WebGL,toji,Brandon Jones,110,0
KhronosGroup/WebGL,gofr,,1,0
KhronosGroup/WebGL,dmikis,Kirill Dmitrenko,3,0
KhronosGroup/WebGL,junov,Justin Novosad,4,0
KhronosGroup/WebGL,FredrikHubinette,,3,0
KhronosGroup/WebGL,xingri,Byungseon Shin,3,0
KhronosGroup/WebGL,vonture,Geoff Lang,6,0
KhronosGroup/WebGL,Samulus,Samuel Vargas,2,0
KhronosGroup/WebGL,zakerinasab,,1,0
KhronosGroup/WebGL,astojilj,Aleksandar Stojiljković,4,0
KhronosGroup/WebGL,reidab,Reid Beels,1,0
KhronosGroup/WebGL,xlai-o,xlai,4,0
KhronosGroup/WebGL,qkmiao,Qiankun Miao,204,0
KhronosGroup/WebGL,gyagp,Yang Gu,7,0
KhronosGroup/WebGL,Treeki,Ash Wolf,1,0
KhronosGroup/WebGL,ChenHanTsai,Chen-Han Tsai,1,0
KhronosGroup/WebGL,Kangz,Corentin Wallez,23,0
KhronosGroup/WebGL,foolip,Philip Jägenstedt,1,0
KhronosGroup/WebGL,DavidPeicho,David Peicho,1,0
KhronosGroup/WebGL,xidachen,,28,0
KhronosGroup/WebGL,c0d1f1ed,Nicolas Capens,9,0
KhronosGroup/WebGL,cx20,,1,0
KhronosGroup/WebGL,emilio,Emilio Cobos Álvarez,2,0
KhronosGroup/WebGL,ds-hwang,Dongseong Hwang,5,0
KhronosGroup/WebGL,bakkot,Kevin Gibbons,1,0
KhronosGroup/WebGL,JerryShih,Jerry Shih,1,0
KhronosGroup/WebGL,Honry,Wanming Lin,1,0
KhronosGroup/WebGL,renchenglei,,15,0
KhronosGroup/WebGL,jbauman2,,3,0
KhronosGroup/WebGL,anzurio,,3,0
KhronosGroup/WebGL,Groovounet,Christophe,2,0
KhronosGroup/WebGL,pavolas,,2,0
KhronosGroup/WebGL,emnh,Eivind Magnus Hvidevold,1,0
KhronosGroup/WebGL,mephisto41,Morris Tseng,4,0
