repository_url,user_login,user_name,n_pr_before_coc,n_pr_after_coc
neo4jrb/activegraph,yourpalal,Alex Wilson,0,3
neo4jrb/activegraph,EugeneIstomin,,0,1
neo4jrb/activegraph,joshjordan,Josh Jordan,0,5
neo4jrb/activegraph,JacobGalati,Jacob Galati,0,1
neo4jrb/activegraph,mrhardikjoshi,Hardik Joshi,0,4
neo4jrb/activegraph,klobuczek,Heinrich Klobuczek,0,31
neo4jrb/activegraph,jgaskins,Jamie Gaskins,0,3
neo4jrb/activegraph,jorroll,John,0,22
neo4jrb/activegraph,cheerfulstoic,Brian Underwood,36,23
neo4jrb/activegraph,malandrina,Laila Winner,0,1
neo4jrb/activegraph,speedshopnate,,0,1
neo4jrb/activegraph,shu-bc,,0,1
neo4jrb/activegraph,ekampp,Emil Kampp,0,2
neo4jrb/activegraph,mstrofbass,,0,2
neo4jrb/activegraph,amitsuryavanshi,Amit Suryavanshi,0,20
neo4jrb/activegraph,kapone89,Tomasz Kapłon,0,1
neo4jrb/activegraph,jjg-dressipi,J.J. Green,0,1
neo4jrb/activegraph,olleolleolle,Olle Jonsson,0,4
neo4jrb/activegraph,ttrmw,Thomas Millward Wright ,0,1
neo4jrb/activegraph,lshimokawa,Lennon Shimokawa,0,2
neo4jrb/activegraph,jschulenklopper,Jochem Schulenklopper,0,1
neo4jrb/activegraph,pudiva,pudiva,0,1
neo4jrb/activegraph,FireWhale,Keith Wu,0,1
neo4jrb/activegraph,Grafikart,Jonathan,0,2
neo4jrb/activegraph,subvertallchris,Chris Grigg,155,36
neo4jrb/activegraph,anamba,Aaron Namba,0,1
neo4jrb/activegraph,kopylovvlad,Kopylov Vladislav,0,1
neo4jrb/activegraph,sulabhjain,Sulabh Jain,0,1
neo4jrb/activegraph,RicardoTrindade,Ricardo Trindade,0,1
neo4jrb/activegraph,pmaite88,Patrick,0,1
neo4jrb/activegraph,simpsonjulian,Julian Simpson,0,1
neo4jrb/activegraph,leviwilson,Levi Wilson,1,4
neo4jrb/activegraph,kyle-rader,Kyle W. Rader,0,1
neo4jrb/activegraph,pepesenaris,Jose Javier Señaris,0,2
neo4jrb/activegraph,nossila,Alisson Patricio,0,1
neo4jrb/activegraph,TyGuy,TyGuy,0,1
neo4jrb/activegraph,kunitoo,Kunihiko Ito,0,1
neo4jrb/activegraph,jboler,Jonathan Boler,0,2
neo4jrb/activegraph,gnapse,Ernesto García,0,1
neo4jrb/activegraph,mintyfresh,Minty Fresh,0,1
neo4jrb/activegraph,ProGM,Piero Dotti,0,37
neo4jrb/activegraph,brucek,Bruce Krysiak,0,7
neo4jrb/activegraph,jacob-ewald,Jacob Ewald,0,1
neo4jrb/activegraph,dominicsayers,Dominic Sayers,0,2
neo4jrb/activegraph,dalton,Adam,0,1
neo4jrb/activegraph,knapo,Krzysztof Knapik,0,1
neo4jrb/activegraph,taki,takigawara,0,2
neo4jrb/activegraph,bloomdido,Chris Anthes,0,3
neo4jrb/activegraph,veetow,Vito Laurenza,0,1
neo4jrb/activegraph,agustinvinao,Agustin Viñao,0,1
neo4jrb/activegraph,JustinAiken,Justin Aiken,0,1
neo4jrb/activegraph,jbhannah,Jesse B. Hannah,0,1
neo4jrb/activegraph,sineed,Denis Tataurov,0,1
neo4jrb/activegraph,michaeldelorenzo,Michael DeLorenzo,0,1
neo4jrb/activegraph,djvs,,0,2
neo4jrb/activegraph,jessmartin,Jess Martin,2,2
neo4jrb/activegraph,koic,Koichi ITO,0,2
neo4jrb/activegraph,mrstif,André Andrade,0,1
neo4jrb/activegraph,ferdinandrosario,Ferdy,0,1
neo4jrb/activegraph,startupaman,Aman Gupta,0,1
neo4jrb/activegraph,venkatd,Venkat Dinavahi,0,1
neo4jrb/activegraph,jmdeldin,Jon-Michael Deldin,2,0
neo4jrb/activegraph,rebeccatron,Rebecca Kukshtel,3,0
neo4jrb/activegraph,flybayer,Brandon Bayer,1,0
neo4jrb/activegraph,jacobwgillespie,Jacob Gillespie,3,0
neo4jrb/activegraph,robak86,Tomasz Robaczewski,1,0
neo4jrb/activegraph,olance,Olivier Lance,3,0
neo4jrb/activegraph,iHiD,Jeremy Walker,1,0
neo4jrb/activegraph,ahmetkizilay,Ahmet Kizilay,1,0
neo4jrb/activegraph,dpisarewski,Dieter Pisarewski,8,0
neo4jrb/activegraph,Tenari,Tenari,1,0
neo4jrb/activegraph,waffle-iron,Making GitHub Delicious.,1,0
neo4jrb/activegraph,garmoshka-mo,Daniel Garmoshka,2,0
neo4jrb/activegraph,nrdobie,Nicholas Dobie,1,0
neo4jrb/activegraph,gitter-badger,The Gitter Badger,1,0
neo4jrb/activegraph,jhmegorei,Johannes Haubold,1,0
neo4jrb/activegraph,codebeige,Tibor Claassen,3,0
neo4jrb/activegraph,jfrazee,Joey,1,0
neo4jrb/activegraph,OpenCoderX,OpenCoderX,1,0
neo4jrb/activegraph,gogogarrett,Garrett Heinlen,1,0
neo4jrb/activegraph,mrkaspa,Michel Perez,1,0
neo4jrb/activegraph,miharekar,Miha Rekar,1,0
neo4jrb/activegraph,http-418,Andrew Jones,1,0
neo4jrb/activegraph,helloworld-cat,HelloWorld.cat,3,0
neo4jrb/activegraph,andreasronge,Andreas Ronge,10,0
neo4jrb/activegraph,johnkferguson,John K. Ferguson,1,0
neo4jrb/activegraph,anulman,Aidan Nulman,1,0
neo4jrb/activegraph,KieranLafferty,Laff,1,0
neo4jrb/activegraph,archferns,Arlston Fernandes,1,0
neo4jrb/activegraph,wintersolutions,wintersolutions,3,0
neo4jrb/activegraph,RichMorin,Rich Morin,2,0
neo4jrb/activegraph,ni-ka,,1,0
neo4jrb/activegraph,ujjwalt,Ujjwal Thaakar,3,0
neo4jrb/activegraph,undergroundwebdesigns,Alex Willemsma,1,0
neo4jrb/activegraph,tomaadland,Tom Henrik Aadland,2,0
neo4jrb/activegraph,AlainPilon,Alain Pilon,1,0
neo4jrb/activegraph,borodiychuk,Andriy Borodiychuk,1,0
neo4jrb/activegraph,karabijavad,Javad Karabi,2,0
neo4jrb/activegraph,alex-klepa,Alex,4,0
neo4jrb/activegraph,VonD,VonD,1,0
neo4jrb/activegraph,saterus,Alex Burkhart,1,0
neo4jrb/activegraph,thekendalmiller,Kendal Miller,1,0
neo4jrb/activegraph,dwbutler,David Butler,1,0
neo4jrb/activegraph,pboling,Peter Boling,1,0
neo4jrb/activegraph,halfdan,Fabian Becker,1,0
neo4jrb/activegraph,cfitz,Chris Fitzpatrick,2,0
neo4jrb/activegraph,joshweinstein,,1,0
neo4jrb/activegraph,michaelklishin,Michael Klishin,1,0
neo4jrb/activegraph,pehrlich,Peter Ehrlich,2,0
neo4jrb/activegraph,moredip,Pete Hodgson,1,0
neo4jrb/activegraph,dnagir,Dmytrii Nagirniak,24,0
neo4jrb/activegraph,declan,Declan Frye,1,0
neo4jrb/activegraph,vivekprahlad,Vivek Prahlad,29,0
