repository_url,user_login,user_name,n_pr_before_coc,n_pr_after_coc
atom/atom,juggernautjp,sibaki_girls,0,1
atom/atom,icecream17,steven nguyen,0,5
atom/atom,sadick254,Sadick,0,56
atom/atom,aminya,Amin Yahyaabadi,0,60
atom/atom,mfonville,Maarten Fonville,0,17
atom/atom,DeeDeeG,,0,29
atom/atom,utkarshgupta137,Utkarsh Gupta,0,1
atom/atom,chbk,,0,2
atom/atom,mohataher,Mohamed Taher Alrefaie,0,1
atom/atom,Ingramz,Indrek Ardel,3,16
atom/atom,savetheclocktower,Andrew Dupont,0,1
atom/atom,50Wliu,Winston Liu,28,127
atom/atom,Aerijo,Benjamin Gray,0,22
atom/atom,Jinivus,,0,2
atom/atom,smashwilson,Ash Wilson,5,118
atom/atom,brettle,Dean Brettle,2,1
atom/atom,okonomiyaki3000,Elijah Madden,0,2
atom/atom,kubowitsche,,0,1
atom/atom,lee-dohm,Lee Dohm,25,56
atom/atom,monster860,Maxim Nikitin,0,1
atom/atom,as-cii,Antonio Scandurra,78,183
atom/atom,richiksc,Richik SC,0,1
atom/atom,wbinnssmith,Will Binns-Smith,0,8
atom/atom,jakob-bebop,Jakob Lund,0,1
atom/atom,t9md,t9md,1,5
atom/atom,matthewwithanm,Matthew Dapena-Tretter,1,39
atom/atom,FBMachine,Daniel Paul Gonzalez,0,1
atom/atom,trestoa,Markus Klein,0,1
atom/atom,bolinfest,,36,4
atom/atom,hansonw,Hanson Wang,0,7
atom/atom,hidefromkgb,Andrey Guskov,0,1
atom/atom,J5,John Palmieri,0,1
atom/atom,ericcornelissen,Eric Cornelissen,0,1
atom/atom,jamilservicos,Gervasio Junior,0,1
atom/atom,passeride,,0,1
atom/atom,pedroduartecosta,Pedro Costa,0,3
atom/atom,patstew,Patrick Stewart,0,1
atom/atom,jtojnar,Jan Tojnar,0,1
atom/atom,abe33,Cédric Néhémie,2,4
atom/atom,gekowa,Guo Xinghua,0,1
atom/atom,sneakypete81,sneakypete81,0,1
atom/atom,WSlatton,Will Slatton,0,1
atom/atom,cinnamonkale,Kyle Simmonds,0,2
atom/atom,tinymins,Emil Zhai,0,1
atom/atom,MikeInnes,Mike J Innes,0,2
atom/atom,yufanyufan,,0,1
atom/atom,febLey,febLey,0,1
atom/atom,adamfranco,Adam Franco,0,1
atom/atom,mkhl,Martin Kühl,0,1
atom/atom,ZachT1711,Zachary tessier,0,1
atom/atom,eltociear,Ikko Ashimine,0,3
atom/atom,ToxicPie,Kent,0,1
atom/atom,darangi,Musa Ibrahim,0,42
atom/atom,mollyshadowppl,,0,1
atom/atom,totonunez,,0,1
atom/atom,andylin2004,Andy Lin,0,2
atom/atom,Pendragon222,Pan Person,0,1
atom/atom,lovetillyourlastpedalfalls,,0,1
atom/atom,UnrealApex,,0,1
atom/atom,varindra868,,0,1
atom/atom,aekewu,余强 她,0,1
atom/atom,deathfoxx,deathfoxx,0,1
atom/atom,idleberg,Jan T. Sott,0,3
atom/atom,lierdakil,Nikolay Yakimov,1,2
atom/atom,the-j0k3r,,0,4
atom/atom,atom-build,Atom Build Bot,0,108
atom/atom,romgrk,Rom Grk,0,1
atom/atom,asturur,Andrea Bogazzi,0,4
atom/atom,sayed985,,0,1
atom/atom,ThatXliner,ThatXliner,0,2
atom/atom,karezachen,陈亿强,0,1
atom/atom,Mizan-Al-Sabbih,,0,2
atom/atom,M3TIOR,Ruby Allison Rose,0,1
atom/atom,Neocrumm,parker,0,1
atom/atom,cssinate,Paul Grant,0,1
atom/atom,ejnf,,0,1
atom/atom,SamuelKiragu,Kiragu,0,1
atom/atom,sadikovi,Ivan,1,5
atom/atom,Oleksandr1201vsp,Oleksandr1201,0,2
atom/atom,natechadwick,Nate Chadwick,0,1
atom/atom,muchaches,,0,1
atom/atom,matt-glich,@matt-glitch,0,1
atom/atom,Daniel199604,Phongsathorn wongkaew,0,1
atom/atom,UziTech,Tony Brix,0,19
atom/atom,Ksuha2020,,0,1
atom/atom,maxbrunsfeld,Max Brunsfeld,112,186
atom/atom,ghost,Deleted user,12,20
atom/atom,Nikita-kumari,Nikita kumari,0,1
atom/atom,Benjamin-Dobell,Benjamin Dobell,0,1
atom/atom,buornhnufnofnr,,0,1
atom/atom,Amir-ASattar,,0,1
atom/atom,sarveshh,Sarvesh Patil,0,1
atom/atom,Biggin,Biggin,0,1
atom/atom,bush1488,maxigan1488,0,1
atom/atom,saizai,Sai,0,1
atom/atom,VirtualLeonard,Leonard,0,1
atom/atom,JilderCalderonGT,,0,1
atom/atom,BiGman92,,0,2
atom/atom,TheDrawingCoder-Gamer,Bulby,0,1
atom/atom,cazeebro,Jay Dawgs,0,1
atom/atom,AUDBOLSY123,uyuihn1008,0,1
atom/atom,sunlaiman,Korakan Yamsattham,0,1
atom/atom,M-94,m94-,0,1
atom/atom,lkashef,Mazen Elkashef,0,22
atom/atom,qqqq-collab,pawel,0,1
atom/atom,sivizius,Sivizius,0,1
atom/atom,NotMoni,Moni,0,2
atom/atom,duochen13,,0,1
atom/atom,yuparach99,,0,1
atom/atom,slightknack,Isaac Clayton,0,1
atom/atom,robobenklein,Ben Klein,0,3
atom/atom,ralendor,,0,2
atom/atom,tojin12341za,NATTAPON THONGPON,0,1
atom/atom,kerematam,katam,0,1
atom/atom,akonwi,Akonwi Ngoh,1,2
atom/atom,cryobry,Dr. Bryan Roessler,0,1
atom/atom,kellibug,,0,1
atom/atom,Descear,,0,1
atom/atom,gauthamkrishna9991,Goutham Krishna,0,1
atom/atom,abarnes25,Ashley Barnes,0,3
atom/atom,dhairya2019,Dhairya,0,1
atom/atom,nacybawa,,0,1
atom/atom,jhutchings1,Justin Hutchings,0,1
atom/atom,gasanq,gasan,0,1
atom/atom,rdnt,Tasos Papalyras,0,2
atom/atom,BoyoJustice,Garrett Beyer,0,1
atom/atom,Nortonjb82,,0,1
atom/atom,jfajardo5,Julio Fajardo,0,1
atom/atom,dmoonfire,Dylan R. E. Moonfire,0,1
atom/atom,chawapbebe,Verawat,0,1
atom/atom,zorn-v,,0,1
atom/atom,xdelaruelle,Xavier Delaruelle,0,1
atom/atom,AngelKitty,Angel_Kitty,0,2
atom/atom,ramanshsharma2806,Ramansh Sharma,0,1
atom/atom,sharedprophet,,0,1
atom/atom,Charlesl86,Charlesl86,0,1
atom/atom,Tloru,Isaac Clayton,0,1
atom/atom,jasonrudolph,Jason Rudolph,4,109
atom/atom,anupamasok,Anupam Asok,0,1
atom/atom,forivall,Emily Marigold Klassen,0,1
atom/atom,joseramonc,Jose Ramon C,1,1
atom/atom,joeamis95,Joseph Amis,0,1
atom/atom,Akash-414,,0,1
atom/atom,tvedeane,Marek J,0,1
atom/atom,fomich200282,,0,2
atom/atom,aguegu,Weihong Guan,0,2
atom/atom,jsunmorris100,,0,2
atom/atom,Lilphill1,,0,1
atom/atom,protecthem1,,0,1
atom/atom,lexi-lambda,Alexis King,0,1
atom/atom,BroHorNo,,0,1
atom/atom,cy-tsenyen1,Tsenyen Cyril Tanko,0,1
atom/atom,Princesharma5521,,0,1
atom/atom,Jettiii,,0,1
atom/atom,nathansobo,Nathan Sobo,277,137
atom/atom,Idil77soltakhanov,idil ,0,1
atom/atom,rafeca,Rafael Oleza,0,112
atom/atom,TylerBurnett,Tyler Burnett,0,1
atom/atom,pjteddie13,Paul,0,1
atom/atom,adligit2,,0,2
atom/atom,dwelle,David Luzar,0,1
atom/atom,quanganh1906,,0,1
atom/atom,Arcanemagus,Landon Abney,0,9
atom/atom,rocketbear27,RocketBear27,0,1
atom/atom,dustbunnystudio,Robert Hanley Tortora,0,1
atom/atom,dan1wang,Daniel Wang,0,1
atom/atom,Ben3eeE,Linus Eriksson,0,31
atom/atom,daviwil,David Wilson,0,84
atom/atom,solvaholic,Roger D. Winans,0,1
atom/atom,oggy,George Ogata,4,3
atom/atom,AbelG08,AvionzGij,0,1
atom/atom,szb512,szb512,0,1
atom/atom,abetomo,Tomoaki Abe,0,1
atom/atom,vinkla,Vincent Klaiber,0,1
atom/atom,QiyueSun,Jerry Sun,0,1
atom/atom,cabageman2,,0,1
atom/atom,bl00mber,Nick Reiley,0,1
atom/atom,ferdian26,Ferdian Trias Sonjaya,0,1
atom/atom,thomasstep,Thomas Step,0,1
atom/atom,Whysosry76, @wSY.bTC,0,2
atom/atom,kenferrara,,0,1
atom/atom,zozozozozo13,,0,1
atom/atom,mrknutsen,Ørjan Knutsen,0,1
atom/atom,budavarimark,Budavári Márk,0,3
atom/atom,asheren,Allison McMillan,0,2
atom/atom,vanessayuenn,Vanessa Yuen,0,2
atom/atom,himankpathak,Himank Pathak,0,1
atom/atom,zweid,Daniel Düring,0,2
atom/atom,simurai,simurai,13,42
atom/atom,v57,Dmitry Kozlov,0,1
atom/atom,needhopegotme,Byron ward,0,1
atom/atom,kuychaco,Katrina Uychaco,0,25
atom/atom,fscherwi,fscherwi,9,1
atom/atom,Angela21O,,0,1
atom/atom,6paklata,octocit,0,1
atom/atom,SConaway,Steven Conaway,0,1
atom/atom,parangbee,,0,1
atom/atom,marcel0ll,Marcelo Lopes Lotufo,0,1
atom/atom,hgdsraj,Raj Mahey,0,1
atom/atom,mahi97,Mohammad Mahdi Rahimi,0,1
atom/atom,deninzane,สุธีร์ วรรณศิริกุล,0,1
atom/atom,zuck98,Aayushi V,0,1
atom/atom,ryanolsonx,Ryan Olson,0,2
atom/atom,captbaritone,Jordan Eldredge,0,10
atom/atom,kodemonster,,0,4
atom/atom,larsenv,Larsen Vallecillo,0,1
atom/atom,bic2007,,0,1
atom/atom,jneuendorf,Jim,0,1
atom/atom,chfritz,Christian Fritz,0,3
atom/atom,51m0n2063r,,0,1
atom/atom,annthurium,Tilde Ann Thurium,0,11
atom/atom,RyanPisuena,Ryan Pisuena,0,1
atom/atom,qaisadeea,Qais Danish,0,2
atom/atom,Pvc8967z,,0,1
atom/atom,tjfryan,TJ Ryan,0,1
atom/atom,sarangthrippanikkara,Sarang Thrippanikkara,0,2
atom/atom,philson-philip,Philson K Philip,0,1
atom/atom,sachin-kumar-singh,,0,1
atom/atom,silentstorm29,Priyanka Sharma,0,1
atom/atom,isundaylee,Jiahao Li,0,1
atom/atom,shadow-light,,0,1
atom/atom,queerviolet,Ashi Krishnan,0,6
atom/atom,chrispat,Chris Patterson,0,2
atom/atom,janczer,Ivan,0,1
atom/atom,zypA13510,Yuping Zuo,0,1
atom/atom,cacheflow,Lex Alexander,0,2
atom/atom,ariasuni,Mélanie Chauvel,0,1
atom/atom,SpencerSnake,Spencer Thomas,0,2
atom/atom,sunz7,Zhi Sun,0,1
atom/atom,sivaprasadreddynooli,Siva Prasad Reddy Nooli,0,1
atom/atom,stepanhruda,Stepan Hruda,0,1
atom/atom,tobiasvl,Tobias V. Langhoff,0,2
atom/atom,JosephTLyons,Joseph T. Lyons,0,1
atom/atom,wilon,Weilong Wang,0,1
atom/atom,lee-doppelganger,Lee Doppelgänger,0,2
atom/atom,desenvolvedorIcotrade,cleverTon ,0,1
atom/atom,rholinshead,Ryan Holinshead,0,1
atom/atom,brennenberkley,Brennen Berkley,0,1
atom/atom,Andreasjuette,Andreas Juette,0,1
atom/atom,Gemfilelock,Martijn Bouma,0,1
atom/atom,spookey123,,0,1
atom/atom,fedelibre,Federico Bruni,0,1
atom/atom,gbwkf,,0,1
atom/atom,karevn,Nikolay Karev,0,1
atom/atom,rayfoss,Ray Foss,0,1
atom/atom,thomasjo,Thomas Johansen,15,11
atom/atom,lllusion3469,,0,1
atom/atom,FabianPetersen,,0,1
atom/atom,rsese,Robert Sese,0,1
atom/atom,npezza93,Nick Pezza,0,1
atom/atom,vishaal-sridhar,Vishaal Sridhar,0,1
atom/atom,jianhuafan,Jianhua Fan,0,1
atom/atom,byronigoe,,0,1
atom/atom,yzgyyang,Guangyuan Yang,0,1
atom/atom,astaut,Adam Stautberg,0,1
atom/atom,Rezayovan,reza,0,3
atom/atom,dolsenj,John Dolsen,0,1
atom/atom,motuvr,Monique Nguyen,0,1
atom/atom,marcomorain,Marc O'Morain,0,1
atom/atom,pro3spb,,0,1
atom/atom,svhuynh,,0,1
atom/atom,saadq,Saad Quadri,0,1
atom/atom,nholbrook,Nick Holbrook,0,1
atom/atom,BoykoAlex,Alex Boyko,0,1
atom/atom,Connormiha,Mikhail Bodrov,0,5
atom/atom,iolsen,Ian Olsen,0,12
atom/atom,jerry88kim,Amy,0,1
atom/atom,philipfweiss,Philip Weiss,0,4
atom/atom,SHADOWELITE7,Jasper D. Rogers,0,1
atom/atom,CvX,Jarek Radosz,0,1
atom/atom,ungb,Bryant Ung,0,8
atom/atom,Evpok,Evpok,0,1
atom/atom,jackass0528,cebu taxi driver,0,1
atom/atom,billyjanitsch,Billy Janitsch,0,1
atom/atom,chrisjshull,Chris J. Shull,0,1
atom/atom,faxata,Sova4,0,1
atom/atom,jaysonvirissimo,Jayson Virissimo,0,1
atom/atom,rickydam,Ricky Dam,0,1
atom/atom,lgeiger,Lukas Geiger,0,7
atom/atom,GENERALGUBERNATOR1,,0,3
atom/atom,MoritzKn,Moritz Kneilmann,0,3
atom/atom,leo-midili,Leo Midili,0,1
atom/atom,rosston,Ross Brandes,0,1
atom/atom,damieng,Damien Guard,0,79
atom/atom,BinaryMuse,Michelle Tilley,2,41
atom/atom,m1guelpf,Miguel Piedrafita,0,1
atom/atom,mortenpi,Morten Piibeleht,0,2
atom/atom,RmenaLopez,Rafael Mena,0,1
atom/atom,fordhurley,Ford Hurley,0,1
atom/atom,him2him2,Ronald Eddy Jr,0,1
