repository_url,user_login,user_name,n_pr_before_coc,n_pr_after_coc
salesforce/design-system-react,beekermememe,Brendan Keogh,0,1
salesforce/design-system-react,aswinshenoy,Ashwin Shenoy,20,0
salesforce/design-system-react,garygong,Gary Gong,27,13
salesforce/design-system-react,richard-logik,,0,1
salesforce/design-system-react,mtetlow,"Mike ""Mikename"" Tetlow",0,1
salesforce/design-system-react,blabadie1,Brendan,0,1
salesforce/design-system-react,interactivellama,Stephen James,326,11
salesforce/design-system-react,Azmarie,Azmarie Wang,2,3
salesforce/design-system-react,jorycunningham,Jory Cunningham,0,1
salesforce/design-system-react,yourdon,David Yourdon,0,1
salesforce/design-system-react,AubreyHewes,Aubrey,0,1
salesforce/design-system-react,srivastava-medha,Medha Srivastava,0,1
salesforce/design-system-react,hgebker,Hannes Gebker,0,1
salesforce/design-system-react,jacobroschen,Jacob Roschen,1,2
salesforce/design-system-react,majiddadashi,Majid Dadashi,0,1
salesforce/design-system-react,braden-salesforce,Braden Hays,0,4
salesforce/design-system-react,rthadr,Thad Riley,0,1
salesforce/design-system-react,chirag64,Chirag Bhatia,0,1
salesforce/design-system-react,bxiao,Allan Xiao,0,3
salesforce/design-system-react,gburnett,,0,1
salesforce/design-system-react,Prophetess,Sybil,2,2
salesforce/design-system-react,chaitanyakaul,Chaitanya Kaul,0,1
salesforce/design-system-react,gfyhui,Gregory Hui,0,2
salesforce/design-system-react,alexxpan,Alex Pan,2,1
salesforce/design-system-react,chriswilty,Christopher Wilton,0,1
salesforce/design-system-react,jcro21,John Crozier,0,1
salesforce/design-system-react,volkanunsal,Volkan Unsal,0,1
salesforce/design-system-react,parweb,chris,0,2
salesforce/design-system-react,bk-dev,,0,1
salesforce/design-system-react,danjersoft,Jeremy Gerrits,2,0
salesforce/design-system-react,kuhmuh,,1,0
salesforce/design-system-react,jimmydief,James Diefenderfer,3,0
salesforce/design-system-react,LalanaChami,Lalana Chamika,1,0
salesforce/design-system-react,xoob,Alex Brausewetter,2,0
salesforce/design-system-react,kmmkwong,MW,2,0
salesforce/design-system-react,aloksingh3112,Alok Kumar  Singh,2,0
salesforce/design-system-react,keshavg2,Keshav Gupta,3,0
salesforce/design-system-react,mujud,Jalil,1,0
salesforce/design-system-react,NightWing1998,Dhruvil Shah,1,0
salesforce/design-system-react,DerekJacobi,Derek Jacobi,1,0
salesforce/design-system-react,sumukhah,Sumukha Hegde,1,0
salesforce/design-system-react,icynoangel,Andrei Croitoru,1,0
salesforce/design-system-react,kevinparkerson,Kevin Parkerson,77,0
salesforce/design-system-react,sehgalvibhor,Vibhor Sehgal,2,0
salesforce/design-system-react,tazhnae-brooks,,1,0
salesforce/design-system-react,apshada,Aditya Pratap Singh Hada,5,0
salesforce/design-system-react,shleewhite,Lee White,5,0
salesforce/design-system-react,BenjaminWFox,Ben,1,0
salesforce/design-system-react,obalbinat,,5,0
salesforce/design-system-react,PaulaIoana,Paula Silaghi,2,0
salesforce/design-system-react,nik72619c,Nikhil Sharma,2,0
salesforce/design-system-react,jgerigmeyer,Jonny Gerig Meyer,12,0
salesforce/design-system-react,arshana,,3,0
salesforce/design-system-react,bryanjlim,Bryan Lim,4,0
salesforce/design-system-react,dennismphil,Dennis Mathew Philip,6,0
salesforce/design-system-react,leandrobrunner,Leandro Brunner,4,0
salesforce/design-system-react,tswardenski,Todd Swardenski,1,0
salesforce/design-system-react,pulkonet,Pulkit Gupta,41,0
salesforce/design-system-react,ashwaniYDV,Ashwani Yadav,5,0
salesforce/design-system-react,INameMyMethodsExactlyWhatTheyDo,Kyle Zhou,1,0
salesforce/design-system-react,davidlygagnon,David,35,0
salesforce/design-system-react,qyiming,,11,0
salesforce/design-system-react,hajiz,Amir Hossein Hajizadeh,4,0
salesforce/design-system-react,andyouyang22,Andy Ouyang,3,0
salesforce/design-system-react,davidakerr,,1,0
salesforce/design-system-react,gitter-badger,The Gitter Badger,1,0
salesforce/design-system-react,ghost,Deleted user,6,0
salesforce/design-system-react,mattlysf,Matthew Lyon,1,0
salesforce/design-system-react,synle,Sy Le,3,0
salesforce/design-system-react,mdesrosiers,Martin Desrosiers,1,0
salesforce/design-system-react,jcjuett,,1,0
salesforce/design-system-react,devgopesh,Gopesh Singhal,9,0
salesforce/design-system-react,pradumangoyal,Praduman Goyal,10,0
salesforce/design-system-react,tanhengyeow,Heng Yeow TAN,19,0
salesforce/design-system-react,shakti97,Shakti Singh,1,0
salesforce/design-system-react,sharaththegeek,Sharath Sriram,1,0
salesforce/design-system-react,Cavallando,Michael Cavallaro,2,0
salesforce/design-system-react,xanthousphoenix,Gregory Pinto,7,0
salesforce/design-system-react,thobhanifreddy,Freddy Thobhani,2,0
salesforce/design-system-react,sethu1504,Sethuraman Annamalai,3,0
salesforce/design-system-react,sudowork,Kevin Gao,4,0
salesforce/design-system-react,marcintreder,Marcin Treder,1,0
salesforce/design-system-react,chengcyber,Cheng,3,0
salesforce/design-system-react,vintik,Victor Brouk,8,0
salesforce/design-system-react,futuremint,Dave Woodward,17,0
salesforce/design-system-react,donnieberg,Donielle Berg,131,0
salesforce/design-system-react,kyleheddon,Kyle Heddon,1,0
salesforce/design-system-react,ButuzGOL,Slava,3,0
salesforce/design-system-react,gdoenlen,George,1,0
salesforce/design-system-react,jdeerhake,John Deerhake,1,0
salesforce/design-system-react,timothyubbens,Tim Ubbens,1,0
salesforce/design-system-react,nikitosinar,Nikita Rotar,2,0
salesforce/design-system-react,elsigh,Lindsey Simon,1,0
salesforce/design-system-react,edelgado,Enrique Delgado,1,0
salesforce/design-system-react,dixiekee,Dixie Kee,2,0
salesforce/design-system-react,neilmiddleton,Neil Middleton,1,0
salesforce/design-system-react,VoxelrSam,Samuel Ingram,1,0
salesforce/design-system-react,rickschmoo,Richard Boardman,4,0
salesforce/design-system-react,alexbaumhoer,Alex Baumhoer,1,0
salesforce/design-system-react,vernak2539,Alex Vernacchia,2,0
salesforce/design-system-react,ctrimm,Cory Trimm,1,0
salesforce/design-system-react,jch,Jerry Cheung,1,0
salesforce/design-system-react,dlferro,Daniel Ferro,2,0
salesforce/design-system-react,celador,John Nelson,3,0
salesforce/design-system-react,johnbeynon,John Beynon,1,0
salesforce/design-system-react,danperry-salesforce,,1,0
salesforce/design-system-react,dougwilson,Douglas Wilson,1,0
salesforce/design-system-react,kchan902,Karina Chan,1,0
salesforce/design-system-react,ryanguest,Ryan Guest,2,0
salesforce/design-system-react,ashu17706,Ashutosh Tripathi,2,0
salesforce/design-system-react,applepielyj,,1,0
salesforce/design-system-react,3den,Marcelo Eden,1,0
salesforce/design-system-react,george-norris-salesforce,George Norris,1,0
salesforce/design-system-react,zaki-yama,Shingo Yamazaki,1,0
salesforce/design-system-react,NuclleaR,NucleaR,2,0
salesforce/design-system-react,iamnickvolpe,Nick Volpe,1,0
salesforce/design-system-react,kevinlambert,Kevin Lambert,6,0
salesforce/design-system-react,bzenSFDC,,1,0
salesforce/design-system-react,nhazar,Nima,1,0
salesforce/design-system-react,cormacmccarthy,Christopher McCulloh,3,0
salesforce/design-system-react,aputinski,Adam Putinski,3,0
salesforce/design-system-react,lexishanson,Lexis,13,0
salesforce/design-system-react,cremedios,Carlos Fernandes,1,0
salesforce/design-system-react,maksim-aleksandrov,Maksim A. Aleksandrov,1,0
salesforce/design-system-react,keklesurvivant,Kévin,1,0
salesforce/design-system-react,BrunoFonzi,Bruno Fonzi,2,0
salesforce/design-system-react,amyleesalesforce,Amy,15,0
salesforce/design-system-react,chriscorwin,Chris Corwin,20,0
salesforce/design-system-react,lee7ster,Richard (Dong Ju) Lee,1,0
salesforce/design-system-react,tweettypography,David Brainer,45,0
salesforce/design-system-react,jjangsfdc,Jae Jang,4,0
