repository_url,user_login,user_name,n_pr_before_coc,n_pr_after_coc
discourse/discourse,nbianca,Bianca Nenciu,0,375
discourse/discourse,CvX,Jarek Radosz,0,225
discourse/discourse,gschlager,Gerhard Schlager,62,225
discourse/discourse,tgxworld,Alan Guo Xiang Tan,94,428
discourse/discourse,martin-brennan,Martin Brennan,0,318
discourse/discourse,pmusaraj,Penar Musaraj,0,346
discourse/discourse,markvanlan,Mark VanLandingham,0,216
discourse/discourse,vinothkannans,Vinoth Kannan,0,157
discourse/discourse,xfalcox,Rafael dos Santos Silva,3,124
discourse/discourse,romanrizzi,Roman Rizzi,0,223
discourse/discourse,jjaffeux,Joffrey JAFFEUX,0,1767
discourse/discourse,OsamaSayegh,Osama Sayegh,0,218
discourse/discourse,osioke,Osioke Itseuwa,0,1
discourse/discourse,udan11,Dan Ungureanu,0,250
discourse/discourse,featheredtoast,Jeff Wong,1,90
discourse/discourse,AndrewPrigorshnev,Andrei Prigorshnev,0,42
discourse/discourse,angusmcleod,Angus McLeod,0,26
discourse/discourse,davidtaylorhq,David Taylor,0,424
discourse/discourse,discourse-translator-bot,Discourse Translator Bot,0,45
discourse/discourse,riking,Kane York,272,99
discourse/discourse,jbrw,,0,64
discourse/discourse,eviltrout,Robin Ward,2,211
discourse/discourse,bgastelo,Brandon Gastelo,0,1
discourse/discourse,techAPJ,Arpit Jalan,332,227
discourse/discourse,SamSaffron,Sam,1,79
discourse/discourse,awesomerobot,Kris ,230,197
discourse/discourse,jordanvidrine,Jordan Vidrine,0,55
discourse/discourse,nlalonde,Neil Lalonde,6,52
discourse/discourse,ZogStriP,Régis Hanol,269,30
discourse/discourse,eltociear,Ikko Ashimine,0,1
discourse/discourse,MeghnaAJ,Meghna,0,1
discourse/discourse,fzngagan,Faizaan Gagan,0,15
discourse/discourse,benzoid,,0,1
discourse/discourse,justindirose,Justin DiRose,0,32
discourse/discourse,ndarilek,Nolan Darilek,0,1
discourse/discourse,thelecter,Lecter,0,1
discourse/discourse,coding-horror,Jeff Atwood,1,13
discourse/discourse,oblakeerickson,Blake Erickson,8,80
discourse/discourse,danielwaterworth,Daniel Waterworth,0,65
discourse/discourse,lis2,Krzysztof Kotlarek,0,202
discourse/discourse,jsoref,Josh Soref,0,5
discourse/discourse,hnb-ku,Joe,0,76
discourse/discourse,crydotsnake,Simon,0,1
discourse/discourse,zacholas,,0,1
discourse/discourse,domeav,,0,1
discourse/discourse,graydenshand,Grayden,0,2
discourse/discourse,harirajv,Hariraj Venkatesan,0,3
discourse/discourse,webdirektindia,,0,2
discourse/discourse,danymajeed,Daniyal Majeed,0,1
discourse/discourse,rishabhnambiar,Rishabh,0,21
discourse/discourse,pilou-,Pilou,0,1
discourse/discourse,tobiaseigen,Tobias Eigen,1,13
discourse/discourse,Supermathie,Michael Brown,24,26
discourse/discourse,Ahmedgagan,Ahmed Gagan,0,14
discourse/discourse,ryantm,Ryan Mulligan,0,12
discourse/discourse,jessicah,Jessica Hamilton,0,4
discourse/discourse,tshenry,,0,37
discourse/discourse,tisonkun,tison,0,1
discourse/discourse,wilson29thid,,0,1
discourse/discourse,nachocab,Nacho Caballero,0,3
discourse/discourse,jimlinntu,Jim Lin,0,1
discourse/discourse,lhkjacky,,0,2
discourse/discourse,ByteHamster,,0,1
discourse/discourse,scossar,Simon Cossar,38,62
discourse/discourse,merefield,Robert,0,5
discourse/discourse,chengweiv5,Chengwei Yang,0,1
discourse/discourse,jomaxro,Joshua Rosenfeld,0,36
discourse/discourse,renato,Renato Atilio,0,1
discourse/discourse,iamricard,Ricard Solé,0,3
discourse/discourse,okuramasafumi,OKURA Masafumi,0,1
discourse/discourse,1resu,,0,1
discourse/discourse,dscataglini,Diego Scataglini,0,1
discourse/discourse,paresy,Michael Maroszek,0,2
discourse/discourse,Keirua,,0,1
discourse/discourse,nicolailang,Nicolai Hjorth,0,2
discourse/discourse,redsfyre,Yasin İsa YILDIRIM,0,1
discourse/discourse,tomscytale,T,0,1
discourse/discourse,satoi8080,Zhe,0,1
discourse/discourse,maazrk,Maaz Khan,0,1
discourse/discourse,godmar,,0,1
discourse/discourse,johnsonm,Michael K Johnson,0,5
discourse/discourse,YikSanChan,yiksanchan,0,2
discourse/discourse,Bmorrical,Bradley Morrical,0,1
discourse/discourse,BobbyMcWho,Bobby McDonald,0,1
discourse/discourse,jlosito,John Losito,0,1
discourse/discourse,Sumithkr,,0,1
discourse/discourse,chenyxuan,,0,1
discourse/discourse,pavelloz,Paweł Kowalski,0,3
discourse/discourse,haomingw,Haoming Wang,0,1
discourse/discourse,Dax74,Dax74,0,3
discourse/discourse,fgambino,Frank Gambino,0,1
discourse/discourse,ti0,Ti0,0,1
discourse/discourse,prayagverma,Prayag Verma ,0,2
discourse/discourse,ValdikSS,ValdikSS,0,1
discourse/discourse,jahan-ggn,,0,6
discourse/discourse,alebertacco,Alessandro Bertacco,0,1
discourse/discourse,Earlo,Visa Pollari,0,1
discourse/discourse,hawm,,0,3
discourse/discourse,anthonydillon,Anthony Dillon,0,1
discourse/discourse,delarosashane,Shane Dela Rosa,0,1
discourse/discourse,pacharanero,Marcus Baw,0,4
discourse/discourse,pfaffman,Jay Pfaffman,0,50
discourse/discourse,mortik,Marten Klitzke,0,1
discourse/discourse,napcok,Daniel Napora,0,1
discourse/discourse,purple-WL,,0,1
discourse/discourse,siriwatk-tw,siriwatknp,0,1
discourse/discourse,psychomantys,Psycho Mantys,0,1
discourse/discourse,rachel-carvalho,Rachel Carvalho,0,1
discourse/discourse,RickyC0626,Ricky Chon,0,1
discourse/discourse,naineet,,0,1
discourse/discourse,Gavin-X,Gavin,0,1
discourse/discourse,andrewschleifer,Andrew Schleifer,0,7
discourse/discourse,oreoshake,Neil Matatall,0,1
discourse/discourse,ShaidullinArtur,ArturShaidullin,0,1
discourse/discourse,mpalmer,Matt Palmer,1,8
discourse/discourse,ashleylegros8217,Ashley ,0,1
discourse/discourse,physixfan,physixfan,0,1
discourse/discourse,blueworrybear,Benno,0,2
discourse/discourse,galaktor,Raph,0,1
discourse/discourse,estraph,Raph Estrada,0,1
discourse/discourse,chandandi,Chandan Kumar,0,1
discourse/discourse,LukeClancy,Luke Clancy,0,1
discourse/discourse,marielaSAG,Mariela Dimitrova,0,1
discourse/discourse,tmm1,Aman Gupta Karmani,0,2
discourse/discourse,cdeleeuwe,Cassius,0,1
discourse/discourse,adrelanos,Patrick Schleizer,0,1
discourse/discourse,Sanmoo,Samuel Carvalho Santos,0,1
discourse/discourse,sbernhard,Bernhard Suttner,0,1
discourse/discourse,spirobel,,0,3
discourse/discourse,alexpdp7,,0,1
discourse/discourse,zyphlar,,0,1
discourse/discourse,artemv,Artem Vasiliev,0,3
discourse/discourse,legalosLOTR,Ankur Dahiya,0,1
discourse/discourse,zcuric,Zdravko Curic,0,7
discourse/discourse,nrchandan,Chandan Kumar,0,1
discourse/discourse,rukku,RK Aranas,0,1
discourse/discourse,cketti,cketti,0,1
discourse/discourse,frafra,Francesco Frassinelli,0,1
discourse/discourse,rizka10,Risto,0,9
discourse/discourse,kemitchell,Kyle E. Mitchell,0,2
discourse/discourse,NateWr,Nate Wright,0,1
discourse/discourse,ryanwi,Ryan Williams,0,1
discourse/discourse,leog,Leo Giovanetti,0,1
discourse/discourse,pnoeric,DN Admin,0,1
discourse/discourse,communiteq,,0,7
discourse/discourse,mentalstring,,0,1
discourse/discourse,dave0688,,0,1
discourse/discourse,benbowler,Ben Bowler,0,1
discourse/discourse,joallard,Jonathan Allard,4,1
discourse/discourse,celine-m-s,Céline Martinet Sanchez,0,2
discourse/discourse,danielhollas,Daniel Hollas,0,3
discourse/discourse,hellcp,Sasi Olin,0,1
discourse/discourse,bmorrical-ICC,Brad Morrical,0,1
discourse/discourse,jankeromnes,Jan Keromnes,0,1
discourse/discourse,dandv,Dan Dascalescu,11,8
discourse/discourse,midorikocak,Midori Koçak,0,1
discourse/discourse,adqm,adam j hartz,0,2
discourse/discourse,schungx,Stephen Chung,0,1
discourse/discourse,mdoggydog,Matt Marjanović,0,1
discourse/discourse,brechtm,Brecht Machiels,0,1
discourse/discourse,mintsaxon,,0,1
discourse/discourse,rimian,Rimian Perkins,0,20
discourse/discourse,iPopstop,,0,1
discourse/discourse,LeoMcA,Leo McArdle,1,42
discourse/discourse,AlexP11223,Alex Pantechovskis,0,1
discourse/discourse,getsnoopy,,0,1
discourse/discourse,hectorbus,Hector Bustillos,0,2
discourse/discourse,xrav3nz,,0,77
discourse/discourse,paupah,Paul Pahikainen,0,1
discourse/discourse,jwjwyoung,,0,1
discourse/discourse,rrooding,Ralph Rooding,0,7
discourse/discourse,mclizz,Lizz,0,1
discourse/discourse,kozo2,Kozo Nishida,0,1
discourse/discourse,bhipple,Benjamin Hipple,0,1
discourse/discourse,soerface,Sören Wegener,0,1
discourse/discourse,owalk,Oliver Walker,0,1
discourse/discourse,jelly,jelle van der Waa,0,1
discourse/discourse,DT9,Dee,0,1
discourse/discourse,mjrbrennan,Martin Brennan,0,3
discourse/discourse,max-foss,Max,0,1
discourse/discourse,ryan-boder-zz,Ryan Boder,0,1
discourse/discourse,xfix,Konrad Borowski,5,3
discourse/discourse,curiousdannii,Dannii Willis,0,4
discourse/discourse,ViniciusTeodoro,,0,1
discourse/discourse,qrush,Nick Quaranto,0,1
discourse/discourse,jacobherrington,Jacob Herrington,0,2
discourse/discourse,AhmadFCheema,,0,10
discourse/discourse,SecretAdmire,Secret Admire,0,1
discourse/discourse,jondo,Robert Pollak,0,1
discourse/discourse,mabras,Mohamad Abras,0,7
discourse/discourse,HanguChoi,최한구 (Hangu Choi),0,1
discourse/discourse,eduardopoleo,Eduardo Poleo,0,1
discourse/discourse,majkelcc,,0,2
discourse/discourse,julienma,Julien Ma,0,1
discourse/discourse,nedbat,Ned Batchelder,0,1
discourse/discourse,mrfinch,Saurabh Patel,0,29
discourse/discourse,larouxn,Nicholas La Roux,0,1
discourse/discourse,iapellaniz,Íñigo Apellániz,0,1
discourse/discourse,stigok,Stig Otnes Kolstad,0,1
discourse/discourse,majakomel,Maja Komel,0,122
discourse/discourse,SantosGuillamot,Mario Santos,0,1
discourse/discourse,voogarix,,0,2
discourse/discourse,jcalvento,Julian Calvento,0,1
discourse/discourse,Arkweid,Abroskin Alexander,0,1
discourse/discourse,joshmoore,Josh Moore,0,2
discourse/discourse,Yatima-Kagurazaka,,0,1
discourse/discourse,robbiet480,Robbie Trencheny,0,1
discourse/discourse,warlof,Loïc Leuilliot,0,1
discourse/discourse,jasl,Jun Jiang,0,1
discourse/discourse,kirylpl,Kiryl Plyashkevich,0,1
discourse/discourse,Ddorda,Dor Dankner,0,1
discourse/discourse,yarons,Yaron Shahrabani,0,1
discourse/discourse,orlando,Orlando Del Aguila,0,3
discourse/discourse,elepedus,Edmond Lepedus,0,2
discourse/discourse,huczas,Hubert Witkowski,0,1
discourse/discourse,nahrivera7,Natalia Hashimoto,0,1
discourse/discourse,m2nx,mmx,0,1
discourse/discourse,venarius,Tim Lange,0,41
discourse/discourse,echolabstech,,0,1
discourse/discourse,khalilovcmded,Tarek Khalil,0,49
discourse/discourse,jtsagata,Ioannis Tsagkatakis,0,1
discourse/discourse,OsaAjani,Pierre-Lin Bonnemaison,0,1
discourse/discourse,crispygoth,Chris Butler,0,2
discourse/discourse,nisevi,Nicolas Sebastian Vidal,0,1
discourse/discourse,neemiasvf,Neemias Freitas,0,1
discourse/discourse,wryun,James Haggerty,0,1
discourse/discourse,sau226,,0,10
discourse/discourse,erickguan,Erick Guan,74,57
discourse/discourse,spacerest,Sadie Parker,0,1
discourse/discourse,SystemZ,Michał Frąckiewicz,0,1
discourse/discourse,edieblu,,0,1
discourse/discourse,hundan2020,Hun Dean,0,1
discourse/discourse,tjumyk,Kelvin,0,2
discourse/discourse,neilmcgovern,Neil McGovern,0,1
discourse/discourse,tanius,Matt,0,1
discourse/discourse,dukex,Duke,0,1
discourse/discourse,chrisbeach,Chris Beach,0,9
discourse/discourse,kannes,Hannes,0,1
discourse/discourse,peterlamber,,0,1
discourse/discourse,chiliec,Vladimir Babin,0,1
discourse/discourse,notstephen,Stephen,0,1
discourse/discourse,jlsjonas,Jonas De Kegel,0,1
