repository_url,user_login,user_name,n_pr_before_coc,n_pr_after_coc
django/django,pope1ni,Nick Pope,0,63
django/django,tvallois,,0,1
django/django,hramezani,Hasan Ramezani,0,160
django/django,mateoradman,Mateo Radman,0,2
django/django,adamchainz,Adam Johnson,0,87
django/django,fengsp,Shipeng Feng,0,3
django/django,gmcrocetti,Guilherme Martins Crocetti,0,1
django/django,jrief,Jacob Rief,0,4
django/django,Nrestrepo05,Nicolás Restrepo,0,1
django/django,mbrown1413,Michael Brown,0,2
django/django,HMaker,Heraldo Lucena,0,1
django/django,claudep,Claude Paroz,0,62
django/django,cjerdonek,Chris Jerdonek,0,39
django/django,smithdc1,David Smith,0,71
django/django,horpto,,0,1
django/django,pawl,Paul Brown,0,1
django/django,jacobtylerwalls,Jacob Walls,0,35
django/django,Ian-Foote,Ian Foote,0,5
django/django,coderanger,Noah Kantrowitz,0,2
django/django,rheard,Ryan Heard,0,3
django/django,snamiki1212,Nash,0,1
django/django,KimSoungRyoul,KimSoungRyoul,0,3
django/django,tomhamiltonstubber,Tom Hamilton Stubber,0,2
django/django,hannseman,Hannes Ljungberg,0,32
django/django,tsaklidis,Stefanos I. Tsaklidis,0,1
django/django,millerthegorilla,James Stewart Miller,0,1
django/django,abbasidaniyal,Daniyal Abbasi,0,7
django/django,manav014,,0,11
django/django,charettes,Simon Charette,0,53
django/django,tlebrize,tlebrize,0,1
django/django,ahaywardtvuk,,0,1
django/django,mlissner,Mike Lissner,0,4
django/django,lbt,David Greaves,0,1
django/django,rtpg,Raphael Gaschignard,0,1
django/django,benwilber,Ben Wilber,0,1
django/django,cammil,,0,1
django/django,swright573,Susan Wright,0,4
django/django,Tijani-Dia,,0,2
django/django,HSNHK,MR HK,0,1
django/django,juliangrube1988,jgr88,0,2
django/django,gmjosack,gary,0,1
django/django,vshih,Victor Shih,0,1
django/django,atombrella,Mads Jensen,0,8
django/django,shaib,Shai Berger,0,1
django/django,fmwviormv,,0,1
django/django,arthurio,Arthur Rio,0,3
django/django,orf,Tom Forbes,0,17
django/django,kshitijraghav,,0,6
django/django,agalazis,Andreas Galazis,0,1
django/django,jonathan-golorry,Jonathan,0,5
django/django,MarkusH,Markus Holtermann,0,3
django/django,timoguic,Tim G,0,1
django/django,diego-lima,Diego Lima,0,2
django/django,jonnythebard,Jonny Park,0,2
django/django,manubb,Manuel Baclet,0,1
django/django,albertosottile,Alberto Sottile,0,1
django/django,tokibito,Shinya Okano,0,1
