repository_url,user_login,user_name,n_pr_before_coc,n_pr_after_coc
electron/electron,dsanders11,David Sanders,0,108
electron/electron,nornagon,Jeremy Rose,0,1039
electron/electron,miniak,Milan Burda,0,746
electron/electron,MarshallOfSound,Samuel Attard,0,874
electron/electron,refi64,Ryan Gonzalez,0,1
electron/electron,RaisinTen,Darshan Sen,0,3
electron/electron,codebytere,Shelley Vohr,0,1144
electron/electron,mlaurencin,Michaela Laurencin,0,40
electron/electron,lukeingalls,Luke Ingalls,0,1
electron/electron,kdau,kdau,0,1
electron/electron,indutny,Fedor Indutny,0,6
electron/electron,stephen9357,,0,1
electron/electron,jviotti,Juan Cruz Viotti,2,5
electron/electron,samuelmaddock,Samuel Maddock,0,42
electron/electron,georgexu99,George Xu,0,8
electron/electron,dimitropoulos,Dimitri Mitropoulos,0,1
electron/electron,marekharanczyk,,0,2
electron/electron,jkleinsc,John Kleinschmidt,0,339
electron/electron,kevinhartman,Kevin Hartman,0,3
electron/electron,christian-bromann,Christian Bromann,1,1
electron/electron,CezaryKulakowski,,0,17
electron/electron,ckerr,Charles Kerr,0,250
electron/electron,erickzhao,Erick Zhao,0,114
electron/electron,mzajaczkowski,,0,3
electron/electron,sentialx,Eryk Rakowski,0,28
electron/electron,molant,Antón Molleda,0,4
electron/electron,adityak368,,0,1
electron/electron,seesemichaelj,Mike Seese,0,1
electron/electron,deepak1556,Robo,130,345
electron/electron,ppontes,Pedro Pontes,0,185
electron/electron,zcbenz,Cheng Zhao,308,774
electron/electron,lishid,Lishid,0,2
electron/electron,papb,Pedro Augusto de Paula Barbosa,0,1
electron/electron,sajjanbalar,,0,1
electron/electron,thypon,Andrea Brancaleoni,0,10
electron/electron,tonyferrell,Tony Ferrell,0,4
electron/electron,emmkimme,Emmanuel Kimmerlin,0,5
electron/electron,kevinhu88,Kevin Hu,0,1
electron/electron,DyckGerman,,0,1
electron/electron,aliomarz0,Ali Omar,0,1
electron/electron,ZReC,,0,1
electron/electron,rayanry9,Rayan,0,1
electron/electron,peteness,Pete Torres,0,1
electron/electron,vthukral94,Vishal,0,1
electron/electron,VerteDinde,Keeley Hammond,0,34
electron/electron,cvsschaitanya,Chavali V S S Chaitanya,0,1
electron/electron,congjiye,aydon,0,1
electron/electron,codefoster,Jeremy Foster,0,3
electron/electron,sofianguy,Sofia Nguy,0,22
electron/electron,belenko,Andrey Belenko,0,16
electron/electron,rzhao271,Raymond Zhao,0,7
electron/electron,Ethan-Arrowood,Ethan Arrowood,0,2
electron/electron,tkainrad,Thomas Kainrad,0,1
electron/electron,sergiou87,Sergio Padrino,0,1
electron/electron,yaohy0819,,0,1
electron/electron,noelleleigh,Noelle Leigh,0,1
electron/electron,electron-bot,Electron Bot,0,375
electron/electron,tabishmahfuz1,Tabish Mahfuz,0,1
electron/electron,Rupal1503,,0,1
electron/electron,PalmerAL,,0,3
electron/electron,OndreasCZ,Ondreas,0,1
electron/electron,shatyuka,Shatyuka,0,2
electron/electron,matthijsgroen,Matthijs Groen,0,1
electron/electron,hamstu,Hamish Macpherson,0,1
electron/electron,SergioBerrio,,0,1
electron/electron,hamst,Roman Gaiu,0,1
electron/electron,michaelkozakovsc,Michael Kozakov,0,1
electron/electron,weeklyd3,,0,1
electron/electron,Rajdeep97,Rajdeep Chatterjee,0,1
electron/electron,Maeda-Naoki,Naoki Maeda,0,2
electron/electron,maiux,,0,1
electron/electron,miko-github,mikoloism,0,1
electron/electron,Tabea4,,0,1
electron/electron,noahweasley,Noah,0,1
electron/electron,avieru,av,0,1
electron/electron,malept,Mark Lee,0,30
electron/electron,robin-fowler,robin,0,1
electron/electron,dengjie13520,deng jie,0,1
electron/electron,KSneijders,KSneijders,0,1
electron/electron,bei-yang,linmu,0,1
electron/electron,SushiJackal,SushiJackal,0,1
electron/electron,poiru,Biru Mohanathas,0,76
electron/electron,addaleax,Anna Henningsen,0,2
electron/electron,AlGantori,Al Gantori,0,1
electron/electron,gsouquet,Germain,0,1
electron/electron,KishkinJ10,,0,1
electron/electron,vothith,,0,1
electron/electron,Prinzhorn,Alexander Prinzhorn,0,2
electron/electron,itsananderson,Will Anderson,0,7
electron/electron,AbraaoFarah,Abraão Farah,0,1
electron/electron,clavin,Calvin,0,3
electron/electron,xland,liulun,0,9
electron/electron,saghul,Saúl Ibarra Corretgé,0,2
electron/electron,skkong,"Kong, Seok kyu",0,1
electron/electron,adrian727,Adrian Li,0,2
electron/electron,SamNewton,Sam Newton,0,1
electron/electron,hjberntson,Han,0,1
electron/electron,kr3l,Karel Braeckman,0,1
electron/electron,tomuky2k,Tom Collis,0,1
electron/electron,xrkffgg,,0,1
electron/electron,zuberrahman,Zuber,0,1
electron/electron,gniezen,Gerrit Niezen,0,2
electron/electron,binyamin,Binyamin Aron Green,0,1
electron/electron,tgxn,Domenic Horner,0,1
electron/electron,gclotault,,0,1
electron/electron,alonelyproducer,Christian Brendlin,0,1
electron/electron,fisabelle-lmi,Francois Isabelle,0,1
electron/electron,ssiatras,Stathis Siatras,0,1
electron/electron,khwaaj,Emil Pettersson,0,1
electron/electron,k15a,Konstantin Pschera,0,1
electron/electron,errorr404,Dixit Bishwas,0,1
electron/electron,deniseyu,Denise Yu,0,1
electron/electron,TonyWuu,Tony,0,3
electron/electron,persianyagami90xs,,0,1
electron/electron,denniske,Dennis Keil,0,1
electron/electron,pstiegele,Paul Stiegele,0,1
electron/electron,eltociear,Ikko Ashimine,0,1
electron/electron,scottrobertson,Scott Robertson,0,1
electron/electron,DUMIE505,TAURUS MINDSET,0,1
electron/electron,felixrieseberg,Felix Rieseberg,1,130
electron/electron,lingxiao-Zhu,LarryZhu,0,1
electron/electron,say25,Steven Yeh,0,1
electron/electron,ash0x0,Ahmed Elshafey,0,1
electron/electron,kethan1,Kethan,0,1
electron/electron,fytriht,Zhang Zhi,0,1
electron/electron,tosmolka,,0,16
electron/electron,chartgerink,Chris Hartgerink,0,1
electron/electron,renmu123,,0,2
electron/electron,nikitakot,Nikita Kot,0,2
electron/electron,ahfriedman,,0,1
electron/electron,Zachinquarantine,,0,1
electron/electron,CyrusRoshan,Cyrus Roshan,0,1
electron/electron,markwylde,Mark Wylde,0,3
electron/electron,riccardopiola,,0,1
electron/electron,nicu,Nicu Ciocan,0,1
electron/electron,jameshfisher,Jim Fisher,0,4
electron/electron,theLMGN,,0,3
electron/electron,pdesantis,Pat DeSantis,0,1
electron/electron,stewartlord,Stewart Lord,0,4
electron/electron,nharper,Nick Harper,0,1
electron/electron,choko-oni,choko,0,1
electron/electron,sirdiego,diego,0,1
electron/electron,stevenjoezhang,Mimi,0,4
electron/electron,alexeykuzmin,Alexey Kuzmin,0,202
electron/electron,AviVahl,Avi Vahl,0,1
electron/electron,sparrow882,,0,1
electron/electron,Jatinmanav,Jatin Manav,0,1
electron/electron,windwalkr,,0,3
electron/electron,RangerMauve,,0,1
electron/electron,vadim-termius,Vadim,0,3
electron/electron,tarruda,Thiago Padilha,0,34
electron/electron,ToPeas,小落,0,1
electron/electron,scharpentier0,Samuel Charpentier,0,1
electron/electron,andersk,Anders Kaseorg,0,3
electron/electron,bandantonio,Antonio,0,19
electron/electron,bitdisaster,,0,5
electron/electron,NotWearingPants,,0,1
electron/electron,20matan,,0,1
electron/electron,GChuf,Chuf,0,4
electron/electron,devinfoley,Devin Foley,0,1
electron/electron,camilstaps,Camil Staps,0,1
electron/electron,bigben0123,Bigben,0,3
electron/electron,tiagotakeda,Tiago Takeda,0,1
electron/electron,vially,Valentin Hăloiu,0,6
electron/electron,LuoJinghua,,0,11
electron/electron,Code-Blooded-Human,Abhishek Shingane,0,1
electron/electron,ghost,Deleted user,11,15
electron/electron,TheGemDev,Gabriel Momoh,0,1
electron/electron,fabiospampinato,Fabio Spampinato,0,1
electron/electron,Inderjeet0003,,0,1
electron/electron,ascorbic,Matt Kane,0,1
electron/electron,heckad,Kazantcev Andrey,0,1
electron/electron,KKTCODER,,0,1
electron/electron,infinity052,Ayush Jain,0,1
electron/electron,MalwarePerseus,,0,1
electron/electron,cjp256,Chris Patterson,0,2
electron/electron,RobertBorg,Robert Borg,0,4
electron/electron,AsherJacob,Asher Jacob,0,1
electron/electron,callahanrts,Cody,0,2
electron/electron,Ruwanthi7,Ruwanthi Thamali Perera,0,2
electron/electron,riodelord,Rio Darmawan,0,1
electron/electron,joyskmathew,JOYS K MATHEW,0,1
electron/electron,Akshayvm98,,0,1
electron/electron,DmitryMK,dmitryk,0,1
electron/electron,egor-xyz,Egor Stronhin,0,1
electron/electron,juliekoubova,Julie Koubová,0,1
electron/electron,devjerry,Jaroslav Maslo,0,1
electron/electron,siddhantrao23,Siddhant Rao,0,1
electron/electron,JoeDuncko,Joe Duncko,0,1
electron/electron,chrdavis,Chris Davis,0,1
electron/electron,marcin-prochownik,,0,4
electron/electron,skeggse,Eli Skeggs,0,1
electron/electron,helple,Helple,0,1
electron/electron,anshdhinhgra47,Ansh Dhingra,0,1
electron/electron,0verk1ll,overkill,0,1
electron/electron,ChALkeR,Сковорода Никита Андреевич,0,6
electron/electron,Raynos,Jake Verbaten,0,1
electron/electron,niik,Markus Olsson,0,5
electron/electron,yydzxz,,0,1
electron/electron,morgan-sam,,0,1
electron/electron,CapOM,Julien Isorce,0,9
electron/electron,StevenEBarbaro,Steven Barbaro,0,5
electron/electron,alfredxing,Alfred Xing,0,1
electron/electron,svirs,shur,0,1
electron/electron,gitcommitshow,,0,1
electron/electron,tst-phudlow,,0,1
electron/electron,danbrianwhite,Daniel White,0,2
electron/electron,Jscorpio1611,Jscorpio1611,0,1
electron/electron,leonllrmc,,0,1
electron/electron,GitHubPang,,0,2
electron/electron,vhashimotoo,Vlad Hashimoto,0,8
electron/electron,bnb,Tierney Cyren,0,3
electron/electron,olawanlejoel,Olawanle Joel,0,1
electron/electron,Zearin,Zearin,0,2
electron/electron,CharlieHess,Charlie Hess,3,14
electron/electron,loc,,0,35
electron/electron,koonpeng,Teo Koon Peng,0,1
electron/electron,gerhardberger,Gellert Hegyi,0,19
electron/electron,junyichung1,,0,1
electron/electron,szTheory,,0,5
electron/electron,nagata-yoshiteru,Yoshietru Nagata,0,1
electron/electron,samccone,Sam Saccone,7,1
electron/electron,adill,Andy Dill,2,17
electron/electron,silvestrijonathan,Jonathan Silvestri,0,1
electron/electron,bhutraraghav,Raghav Bhutra,0,1
electron/electron,jienius,jieniu$,0,1
electron/electron,MichaelGrigoryan25,Michael Grigoryan,0,1
electron/electron,BenRussert,Ben Russert,0,1
electron/electron,railsjack,Rails Jack,0,2
electron/electron,str4nge-4ttr4ctor,Elena Topaka,0,1
electron/electron,LeonErath,Leon,0,1
electron/electron,rebornix,Peng Lyu,0,1
electron/electron,pfrazee,Paul Frazee,0,14
electron/electron,BenSova,Ben Sova,0,2
electron/electron,jamesebastian,James Sebastian,0,1
electron/electron,mahnunchik,Evgeny,0,1
electron/electron,wjch-krl,Wojciech Krol,0,3
electron/electron,EslamHiko,Islam ElHakmi,0,1
electron/electron,the-j0k3r,,0,1
electron/electron,isnotgood,Lukas Weber,0,3
electron/electron,DeeDeeG,,0,1
electron/electron,kritisingh1,Kriti Singh,0,1
electron/electron,Artur01300,Artur KARAPETYAN,0,1
electron/electron,aabramovsky,,0,1
electron/electron,mifi,Mikael Finstad,0,2
electron/electron,ffflorian,Florian Imdahl,0,1
electron/electron,AqibMukhtar,Aqib Mukhtar,0,1
electron/electron,cwzhu0802,峻宇,0,1
electron/electron,robin850,Robin Dupret,0,1
electron/electron,pavelfeldman,Pavel Feldman,0,2
electron/electron,kevmo314,Kevin Wang,0,1
electron/electron,zimengle,zimeng,0,6
electron/electron,sorah,Sorah Fukumori,0,2
electron/electron,andrea-doyensec,,0,1
electron/electron,drslump,Iván Montes,0,1
electron/electron,diegozhu,diegozhu,0,1
