repository_url,user_login,user_name,n_pr_before_coc,n_pr_after_coc
GeoNode/geonode,indeOWS,geotube,0,2
GeoNode/geonode,afabiani,Alessio Fabiani,426,341
GeoNode/geonode,kaloyan13,Kaloyan Petrov,0,1
GeoNode/geonode,gannebamm,Florian Hoedt,13,24
GeoNode/geonode,mattiagiupponi,,0,83
GeoNode/geonode,giohappy,Giovanni Allegri,10,13
GeoNode/geonode,t-book,Toni ,45,57
GeoNode/geonode,marthamareal,NAGGINDA MARTHA,0,46
GeoNode/geonode,allilou,BENAHMED DAHO Ali,0,1
GeoNode/geonode,bieganowski,,0,29
GeoNode/geonode,etj,Emanuele Tajariol,6,8
GeoNode/geonode,ahmednoureldeen,Ahmed Nour Eldeen,16,2
GeoNode/geonode,allyoucanmap,stefano bovio,0,1
GeoNode/geonode,gguerran,Gustavo Guerra,0,2
GeoNode/geonode,jfreitas1980,,0,1
GeoNode/geonode,luorlandini,Luca Orlandini,0,1
GeoNode/geonode,Miro-Polc,,0,1
GeoNode/geonode,stefmec,,0,1
GeoNode/geonode,mtnorthcott,Matthew Northcott,0,41
GeoNode/geonode,malnajdi,Mohammed Y. Alnajdi,0,1
GeoNode/geonode,yespejo,Yeismer Espejo,0,1
GeoNode/geonode,meomancer,Irwan Fathurrahman,0,1
GeoNode/geonode,burner761,,0,5
GeoNode/geonode,sarahsmi,,0,1
GeoNode/geonode,breadexperience,,0,1
GeoNode/geonode,binkiesbane,,0,2
GeoNode/geonode,niamh-av,,0,3
GeoNode/geonode,Smicattoc,,0,3
GeoNode/geonode,rukarangi,Luke Thompson,0,2
GeoNode/geonode,jacksonrakena,Jackson,0,2
GeoNode/geonode,khaledboka,Khaled Abdullatif,1,2
GeoNode/geonode,tomkralidis,Tom Kralidis,54,2
GeoNode/geonode,archaeogeek,Jo Cook,0,1
GeoNode/geonode,ricardogsilva,Ricardo Garcia Silva,4,1
GeoNode/geonode,Daaparrac,Daniel parra,0,1
GeoNode/geonode,NyakudyaA,mazano,0,2
GeoNode/geonode,petrus7,Piotr Dankowski,0,28
GeoNode/geonode,jannefleischer,,0,1
GeoNode/geonode,abulojoshua1,Abulo John Joshua,0,13
GeoNode/geonode,OlgaKurek,Olga Kurek,0,1
GeoNode/geonode,anjogu,Anthony Njogu,0,1
GeoNode/geonode,lucernae,Rizky Maulana Nugraha,13,2
GeoNode/geonode,jonnyforestGIS,João Gaspar,0,3
GeoNode/geonode,tigreped,Pedro Guimarães,0,1
GeoNode/geonode,JorgeMartinezG,Jorge Martínez Gómez,1,2
GeoNode/geonode,travislbrundage,Travis,39,11
GeoNode/geonode,jondoig,Jon Doig,14,2
GeoNode/geonode,fgianoli,Federico,0,1
GeoNode/geonode,frafra,Francesco Frassinelli,30,13
GeoNode/geonode,dhlambert,,0,6
GeoNode/geonode,sjohn-atenekom,Steffen Berger,0,5
GeoNode/geonode,DingDingFan0207,Dingding,0,7
GeoNode/geonode,maabdelghaffar,M. Ahmed,0,5
GeoNode/geonode,gonrial,Ezequiel Gonzalez Rial,12,1
GeoNode/geonode,gian-tobias,,0,1
GeoNode/geonode,axza,ALZ,0,1
GeoNode/geonode,srtonz,Tobias Schulmann,4,3
GeoNode/geonode,CamGreen,Cameron Green,0,1
GeoNode/geonode,cisco974,,0,2
GeoNode/geonode,kikislater,Sylvain POULAIN,8,1
GeoNode/geonode,gioscarda,,17,14
GeoNode/geonode,Fanevanjanahary,Faneva Andriamiadantsoa,2,1
GeoNode/geonode,capooti,Paolo Corti,190,12
GeoNode/geonode,HaydenElza,Hayden Elza,1,1
GeoNode/geonode,LiliGuimaraes,Lilian Guimarães,0,2
GeoNode/geonode,zoran995,Zoran Kokeza,0,1
GeoNode/geonode,fossabot,fossabot,0,1
GeoNode/geonode,jsta,Jem Stachelek,1,0
GeoNode/geonode,fpennica,Francesco Pennica,1,0
GeoNode/geonode,vanbremer,Vanessa Bremerich,1,0
GeoNode/geonode,francbartoli,Francesco Bartoli,53,0
GeoNode/geonode,tfotis,Thanasis Fotis,1,0
GeoNode/geonode,Thom03,George Muteti,1,0
GeoNode/geonode,prbordon,,1,0
GeoNode/geonode,Gnafu,Lorenzo Pini,3,0
GeoNode/geonode,kalxas,Angelos Tzotsos,31,0
GeoNode/geonode,nastasi-oq,Matteo Nastasi,6,0
GeoNode/geonode,Marwe,,2,0
GeoNode/geonode,amefad,,4,0
GeoNode/geonode,ppasq,Paolo Pasquali,46,0
GeoNode/geonode,Coop56,Jeremiah Cooper,10,0
GeoNode/geonode,atherashraf,Ather Ashraf,6,0
GeoNode/geonode,dejansamardzic,,1,0
GeoNode/geonode,trepagnier,,5,0
GeoNode/geonode,drnextgis,Denis Rykov,1,0
