repository_url,user_login,user_name,n_pr_before_coc,n_pr_after_coc
googleapis/google-cloud-python,faube,Francois Aube,0,1
googleapis/google-cloud-python,JustinBeckwith,Justin Beckwith,0,2
googleapis/google-cloud-python,yoshi-automation,Yoshi Automation Bot,0,1555
googleapis/google-cloud-python,busunkim96,Bu Sun Kim,0,257
googleapis/google-cloud-python,danoscarmike,Dan O'Meara,0,18
googleapis/google-cloud-python,kweinmeister,Karl Weinmeister,0,1
googleapis/google-cloud-python,rodrigodias27,Rodrigo Ribeiro Dias,0,1
googleapis/google-cloud-python,parthea,Anthonios Partheniou,0,2
googleapis/google-cloud-python,mik-laj,Kamil Breguła,0,6
googleapis/google-cloud-python,ingernet,inger klekacz,0,2
googleapis/google-cloud-python,martinvol,Martín Volpe,0,1
googleapis/google-cloud-python,plamut,Peter Lamut,0,100
googleapis/google-cloud-python,crwilcox,Christopher Wilcox,0,294
googleapis/google-cloud-python,leahecole,Leah E. Cole,0,2
googleapis/google-cloud-python,larkee,,0,9
googleapis/google-cloud-python,HemangChothani,,0,39
googleapis/google-cloud-python,helinwang,Helin Wang,0,8
googleapis/google-cloud-python,IlyaFaer,Ilya Gurov,0,30
googleapis/google-cloud-python,pradn,Prad Nelluru,0,8
googleapis/google-cloud-python,conwaychriscosmo,Chris,0,1
googleapis/google-cloud-python,msuozzo,Matthew Suozzo,0,1
googleapis/google-cloud-python,jkwlui,Jonathan Lui,0,12
googleapis/google-cloud-python,grooveygr,Avihay Kain,0,1
googleapis/google-cloud-python,telpirion,Eric Schmidt,0,1
googleapis/google-cloud-python,hugovk,Hugo van Kemenade,0,1
googleapis/google-cloud-python,tswast,Tim Swast,0,238
googleapis/google-cloud-python,curlup,Pavel T ,0,1
googleapis/google-cloud-python,mackenziestarr,Mackenzie Starr,0,1
googleapis/google-cloud-python,mesmacosta,Marcelo Costa,0,1
googleapis/google-cloud-python,emar-kar,Leonid Emar-Kar,0,22
googleapis/google-cloud-python,beccasaurus,Rebecca Taylor,0,5
googleapis/google-cloud-python,mbarkhau,,0,1
googleapis/google-cloud-python,vimota,Victor Mota,0,2
googleapis/google-cloud-python,yihanzhen,Hanzhen Yi,0,1
googleapis/google-cloud-python,paul1319,Pavel Kiselev,0,1
googleapis/google-cloud-python,renovate-bot,WhiteSource Renovate,0,13
googleapis/google-cloud-python,jadekler,Jean de Klerk,0,4
googleapis/google-cloud-python,geraint0923,Mark,0,2
googleapis/google-cloud-python,software-dov,Dov Shlachter,0,2
googleapis/google-cloud-python,alextford11,Alex Ford,0,1
googleapis/google-cloud-python,sirtorry,Torry Yang,0,1
googleapis/google-cloud-python,mbril,Maor Bril,0,1
googleapis/google-cloud-python,BenWhitehead,BenWhitehead,0,1
googleapis/google-cloud-python,tseaver,Tres Seaver,222,1050
googleapis/google-cloud-python,codyoss,Cody Oss,0,1
googleapis/google-cloud-python,steinwaywhw,Steinway Wu,0,7
googleapis/google-cloud-python,brendanlundy,Brendan Lundy,0,12
googleapis/google-cloud-python,vlasenkoalexey,Aleksey Vlasenko,0,1
googleapis/google-cloud-python,ricardolsmendes,Ricardo Mendes,0,2
googleapis/google-cloud-python,emkornfield,,0,3
googleapis/google-cloud-python,frankyn,Frank Natividad,0,6
googleapis/google-cloud-python,foxyblue,Sebastien Williams-Wynn,0,1
googleapis/google-cloud-python,shunghsiyu,Shung-Hsi Yu,0,1
googleapis/google-cloud-python,maximus12793,Maximus,0,4
googleapis/google-cloud-python,wangbill-google,,0,5
googleapis/google-cloud-python,lwander,Lars Wander,0,5
googleapis/google-cloud-python,mcollins42,Mark Collins,0,1
googleapis/google-cloud-python,PaulTR,Paul Ruiz,0,1
googleapis/google-cloud-python,TobKed,Tobiasz Kędzierski,0,2
googleapis/google-cloud-python,pkumusic,Music Lee,0,2
googleapis/google-cloud-python,wchargin,William Chargin,0,1
googleapis/google-cloud-python,sukeesh,Sukeesh,0,1
googleapis/google-cloud-python,jingtaow,,0,1
googleapis/google-cloud-python,jonathan1920,,0,2
googleapis/google-cloud-python,VitorDominguesR,encod1ng,0,1
googleapis/google-cloud-python,sumit-ql,,0,10
googleapis/google-cloud-python,WalterHub,Walter Poupore,0,1
googleapis/google-cloud-python,mkudejim,,0,3
googleapis/google-cloud-python,bennett-jacob,Jacob Bennett,0,1
googleapis/google-cloud-python,markvincze,Mark Vincze,0,1
googleapis/google-cloud-python,shubha-rajan,Shubha Rajan,0,6
googleapis/google-cloud-python,aviau,Alexandre Viau,0,1
googleapis/google-cloud-python,jskeet,Jon Skeet,0,1
googleapis/google-cloud-python,ryanyuan,Ryan Yuan,0,5
googleapis/google-cloud-python,TrucHLe,Bamboo Le,0,2
googleapis/google-cloud-python,tritone,Chris Cotter,0,1
googleapis/google-cloud-python,ritiko,David,0,1
googleapis/google-cloud-python,jlara310,Juan Lara,0,1
googleapis/google-cloud-python,anguillanneuf,Tianzi Cai,0,12
googleapis/google-cloud-python,mf2199,Maxim F.,0,7
googleapis/google-cloud-python,JesseLovelace,,0,1
googleapis/google-cloud-python,sangramql,,0,23
googleapis/google-cloud-python,liamuk,Kumail Jaffer,0,1
googleapis/google-cloud-python,aaltay,Ahmet Altay,0,1
googleapis/google-cloud-python,Billcountry,Billcountry Mwaniki,0,1
googleapis/google-cloud-python,ghost,Deleted user,1,3
googleapis/google-cloud-python,Kami,Tomaz Muraus,0,2
googleapis/google-cloud-python,jsimonweb,Jonathan Simon,0,1
googleapis/google-cloud-python,joar,Joar Wandborg,0,2
googleapis/google-cloud-python,idoshamun,Ido Shamun,0,1
