repository_url,user_login,user_name,n_pr_before_coc,n_pr_after_coc
jquery/jquery,Minimaximize,Liam James,0,1
jquery/jquery,ygj6,,0,3
jquery/jquery,mgol,Michał Gołębiowski-Owczarek,127,172
jquery/jquery,csmadhav,C S Madhav,0,2
jquery/jquery,mathiasbynens,Mathias Bynens,18,0
jquery/jquery,preethi26,Preethi Pravalika,1,0
jquery/jquery,jbedard,Jason Bedard,17,6
jquery/jquery,noahking27,Noah King,0,1
jquery/jquery,jeongjwon,,0,1
jquery/jquery,leejk298,,0,1
jquery/jquery,ahinkim,,0,1
jquery/jquery,dodogcat,,0,1
jquery/jquery,jishine,,0,1
jquery/jquery,Jihye-Shim,,0,1
jquery/jquery,jhbgithub14,,0,1
jquery/jquery,BonnieSoftware,,0,1
jquery/jquery,gomastestcodacy,,0,1
jquery/jquery,Krinkle,Timo Tijhof,36,2
jquery/jquery,timmywil,Timmy Willison,79,24
jquery/jquery,jimmynono,James Norton,0,1
jquery/jquery,SEA-Hank,,0,1
jquery/jquery,Adam7288,,0,1
jquery/jquery,qixinwuchen,Lucy,0,1
jquery/jquery,VenkatVuddagiri,,0,1
jquery/jquery,fras2560,Dallas Fraser,0,1
jquery/jquery,wonhyoung05,Wonhyoung Park,0,1
jquery/jquery,henryruss2,,0,1
jquery/jquery,natipo,Natalia Sroka,0,1
jquery/jquery,Necmttn,Necmettin Karakaya,0,1
jquery/jquery,lc-soft,Liu,0,1
jquery/jquery,SteveDavis-TR,Steve Davis,0,1
jquery/jquery,beatrizrezener,Beatriz Rezener,0,1
jquery/jquery,jucliu,,0,1
jquery/jquery,radar,Ryan Bigg,0,1
jquery/jquery,jayaddison,James Addison,0,1
jquery/jquery,SoraWebsoft,,0,3
jquery/jquery,edg2s,Ed S,0,5
jquery/jquery,pgrimaud,Pierre Grimaud,0,1
jquery/jquery,Am294,Andrew Moses,0,1
jquery/jquery,vanillajonathan,Jonathan,0,1
jquery/jquery,wonseop,Wonseop Kim,0,3
jquery/jquery,ioriandy4,yuyu168,0,1
jquery/jquery,wenz,Christian Wenz,0,7
jquery/jquery,qxie11,Evgeniy Ponomarev,0,1
jquery/jquery,shishiv30,Conjee Zou,0,1
jquery/jquery,ashwani99,Ashwani Gupta,0,1
jquery/jquery,manu-sparheld,,0,1
jquery/jquery,gaohuia,Tom,0,1
jquery/jquery,coliff,Christian Oliff,0,2
jquery/jquery,Avgona,Vladyslav,0,1
jquery/jquery,gibson042,Richard Gibson,148,13
jquery/jquery,dmethvin,Dave Methvin,95,7
jquery/jquery,nikolas,,0,1
jquery/jquery,laurawacrenier,,0,1
jquery/jquery,guolei0528,,0,2
jquery/jquery,patrickbussmann,Patrick Bußmann,0,1
jquery/jquery,ShashankaNataraj,Shashanka Nataraj,2,2
jquery/jquery,aelafifi,Ahmed S. El-Afifi,0,1
