repository_url,user_login,user_name,n_pr_before_coc,n_pr_after_coc
salesforce/lwc,nolanlawson,Nolan Lawson,1,25
salesforce/lwc,jodarove,Jose David Rodriguez Velasco,20,107
salesforce/lwc,pmdartus,Pierre-Marie Dartus,102,211
salesforce/lwc,ravijayaramappa,Ravi Jayaramappa,6,133
salesforce/lwc,priandsf,Philippe Riand,0,2
salesforce/lwc,caridy,Caridy Patiño,125,74
salesforce/lwc,diervo,Diego Ferreiro Val,87,48
salesforce/lwc,jasonsilberman,Jason Silberman,0,5
salesforce/lwc,ekashida,Eugene Kashida,46,191
salesforce/lwc,abdulsattar,Abdulsattar Mohammed,0,17
salesforce/lwc,Nadehahabibi,,0,1
salesforce/lwc,Sumitjg,,0,28
salesforce/lwc,aputinski,Adam Putinski,0,3
salesforce/lwc,kevinv11n,Kevin Venkiteswaran,14,5
salesforce/lwc,sumitjaiswal35,,0,1
salesforce/lwc,Syachid,,0,1
salesforce/lwc,blittle,Bret Little,0,6
salesforce/lwc,KrisGraySFDC,Kris Gray,0,1
salesforce/lwc,sfdc-jkovitz,,0,7
salesforce/lwc,jbleyleSF,Jody Bleyle,0,4
salesforce/lwc,TwoPlusTwoOne,Francisco Di Giandomenico,0,1
salesforce/lwc,fivetanley,Stanley Stuart,0,1
salesforce/lwc,nelapolu,,0,1
salesforce/lwc,dmittendorf,Doug Mittendorf,0,3
salesforce/lwc,jonnyhork,Jonny Hork,0,1
salesforce/lwc,tariqrafique,Tariq Rafique,1,2
salesforce/lwc,vovius,Vova Arseienko,0,2
salesforce/lwc,jhutchings1,Justin Hutchings,0,1
salesforce/lwc,yungcheng,Vince Chen,19,1
salesforce/lwc,apapko,Aliaksandr Papko,58,20
salesforce/lwc,YamYamYamlFml,,0,1
salesforce/lwc,mohan-chinnappan-n,,0,1
salesforce/lwc,tedconn,Ted Conn,0,6
salesforce/lwc,wes566,Wes,0,5
salesforce/lwc,sahilmalhotra24,Sahil Malhotra,0,1
salesforce/lwc,zumesh20,Umesh,0,1
salesforce/lwc,swanaselja,Sagar Wanaselja,0,1
salesforce/lwc,midzelis,Min Idzelis,2,5
salesforce/lwc,zhawtof,Zach Hawtof,0,1
salesforce/lwc,mshanemc,Shane McLaughlin,0,1
salesforce/lwc,CommanderQ,Mike McMahon,0,2
salesforce/lwc,nrobertdehault,,1,2
salesforce/lwc,Templarian,Austin Andrews,0,1
salesforce/lwc,trevor-bliss,Trevor,37,12
salesforce/lwc,dval-sfdc,,0,3
salesforce/lwc,mpsenn,Mike Senn,1,1
salesforce/lwc,davidturissini,David Turissini,100,1
salesforce/lwc,philipmagnusson,Philip Magnusson,0,1
salesforce/lwc,jye-sf,Jason Ye,10,1
salesforce/lwc,sfdciuie,Iurie,4,0
salesforce/lwc,mysticflute,Nathan McWilliams,2,0
salesforce/lwc,rcaubarreaux,Ross Caubarreaux,1,0
salesforce/lwc,rsalvador,Roman Salvador,4,0
salesforce/lwc,byao,Bob Yao,4,0
salesforce/lwc,zerious,Sam Eubank,1,0
salesforce/lwc,chengli-sfdc,Cheng Li,1,0
salesforce/lwc,dbajric,Dinko Bajric,1,0
salesforce/lwc,wpeter-sfdc,Wes Peter,1,0
salesforce/lwc,dgitin,,1,0
