repository_url,user_login,user_name,n_pr_before_coc,n_pr_after_coc
mozilla/pdf.js,Snuffleupagus,Jonas Jenwald,1263,766
mozilla/pdf.js,calixteman,,0,178
mozilla/pdf.js,henrywarhurst,Henry Warhurst,0,1
mozilla/pdf.js,baloone,Mohamed H,0,2
mozilla/pdf.js,brendandahl,Brendan Dahl,330,37
mozilla/pdf.js,huang325,Yuzhe Huang,0,4
mozilla/pdf.js,CIE81,Ioan Cucerzan,1,2
mozilla/pdf.js,dgoiko,,0,1
mozilla/pdf.js,jezhou,Jesse Zhou,0,1
mozilla/pdf.js,bryanph,Bryan Haakman,0,1
mozilla/pdf.js,brianholleibm,,1,0
mozilla/pdf.js,apoorv-mishra,Apoorv Mishra,3,0
mozilla/pdf.js,dittyroma,,0,1
mozilla/pdf.js,MMeent,,0,1
mozilla/pdf.js,SaifRehman99,Saif ur Rehman,0,1
mozilla/pdf.js,wizehive-chrismanjoine,,0,3
mozilla/pdf.js,eltociear,Ikko Ashimine,0,3
mozilla/pdf.js,timvandermeij,Tim van der Meij,378,67
mozilla/pdf.js,nikolas,,0,1
mozilla/pdf.js,anirudhvarma12,Anirudh Varma,0,1
mozilla/pdf.js,gone-skiing,Eugene Krylov,0,1
mozilla/pdf.js,meto9946,,0,1
mozilla/pdf.js,isGuard,Guard,0,1
mozilla/pdf.js,onhate,Marcelo Luiz Onhate,0,1
mozilla/pdf.js,dispeakble,Ovidiu Alexa,0,1
mozilla/pdf.js,janpe2,Jani Pehkonen,19,11
mozilla/pdf.js,cetinsert,Cetin Sert,0,3
mozilla/pdf.js,Stix89,Stix,0,1
mozilla/pdf.js,utopianknight,,0,3
mozilla/pdf.js,JovaniTarnowski,Jovani,0,1
mozilla/pdf.js,emilio,Emilio Cobos Álvarez,0,9
mozilla/pdf.js,samharwood,,0,1
mozilla/pdf.js,yrambler2001,Yuriy Synyshyn,0,1
mozilla/pdf.js,PeterW570,Peter Weightman,0,1
mozilla/pdf.js,koenvd,koenvd,0,1
mozilla/pdf.js,Lucasrezzaghi,,0,1
mozilla/pdf.js,kbuckinx,,0,1
mozilla/pdf.js,nt1m,Tim Nguyen,0,1
mozilla/pdf.js,justinribeiro,Justin Ribeiro,0,1
mozilla/pdf.js,aman282571,Aman Thakur,0,3
mozilla/pdf.js,roiLeo,,0,1
mozilla/pdf.js,dhufnagel,,0,2
mozilla/pdf.js,fdaveine,Fabien Daveine,0,1
mozilla/pdf.js,dsherret,David Sherret,0,1
mozilla/pdf.js,ghost,Deleted user,23,3
mozilla/pdf.js,Deepak-du,Deepak,0,2
mozilla/pdf.js,YipingRuan,Yiping,0,1
mozilla/pdf.js,TheSilentDev,Zachary,0,1
mozilla/pdf.js,hakubo,Jakub Olek,0,1
mozilla/pdf.js,astehlik,Alexander Stehlik,0,1
mozilla/pdf.js,janbrummer,jbrummer,0,1
mozilla/pdf.js,nickyc975,Nicky Chen,0,1
