repository_url,user_login,user_name,n_pr_before_coc,n_pr_after_coc
scikit-learn/scikit-learn,quendee,,0,2
scikit-learn/scikit-learn,ogrisel,Olivier Grisel,252,64
scikit-learn/scikit-learn,lacrosse91,lacrosse91,0,1
scikit-learn/scikit-learn,jjerphan,Julien Jerphanion,0,19
scikit-learn/scikit-learn,thomasjpfan,Thomas J. Fan,236,291
scikit-learn/scikit-learn,tsuga,,0,2
scikit-learn/scikit-learn,lorentzenchr,Christian Lorentzen,7,31
scikit-learn/scikit-learn,gsheni,Gaurav Sheni,0,2
scikit-learn/scikit-learn,glemaitre,Guillaume Lemaitre,168,129
scikit-learn/scikit-learn,kilgore92,Ishaan Bhat,0,1
scikit-learn/scikit-learn,seanbenhur,Sean Benhur J ,0,2
scikit-learn/scikit-learn,hurricane642,,0,2
scikit-learn/scikit-learn,tnakae,Toshihiro NAKAE,0,1
scikit-learn/scikit-learn,lesteve,Loïc Estève,151,5
scikit-learn/scikit-learn,jeremiedbb,Jérémie du Boisberranger,75,75
scikit-learn/scikit-learn,kddubey,,0,1
scikit-learn/scikit-learn,wowry,Shuhei Kayawari,0,1
scikit-learn/scikit-learn,yoh1496,ishiguro-yo,0,1
scikit-learn/scikit-learn,norbusan,Norbert Preining,0,4
scikit-learn/scikit-learn,nithish08,Nithish Bolleddula,0,1
scikit-learn/scikit-learn,murata-yu,,0,2
scikit-learn/scikit-learn,NicolasHug,Nicolas Hug,181,107
scikit-learn/scikit-learn,twolodzko,Tymoteusz Wołodźko,0,1
scikit-learn/scikit-learn,pietroppeter,Pietro Peterlongo,0,1
scikit-learn/scikit-learn,michalkrawczyk,,0,2
scikit-learn/scikit-learn,asaadeldin11,Ali Saad-Eldin,0,1
scikit-learn/scikit-learn,Bharat123rox,Bharat Raghunathan,11,9
scikit-learn/scikit-learn,VarIr,Roman Feldbauer,3,4
scikit-learn/scikit-learn,kach-sj,,0,1
scikit-learn/scikit-learn,Caratheodory301,,0,2
scikit-learn/scikit-learn,jakelohrke,Jake Lohrke,0,1
scikit-learn/scikit-learn,kstoneriv3,Kei Ishikawa,0,4
scikit-learn/scikit-learn,olszewskip,Paweł Olszewski,0,1
scikit-learn/scikit-learn,cmarmo,Chiara Marmo,30,67
scikit-learn/scikit-learn,davidechicco,Davide Chicco,0,2
