repository_url,user_login,user_name,n_pr_before_coc,n_pr_after_coc
scrapy/scrapy,rudanov,Dmitry Rudanov,0,1
scrapy/scrapy,drs-11,D R Siddhartha,0,5
scrapy/scrapy,pawelmhm,Paweł Miech,5,13
scrapy/scrapy,halekyl,,0,1
scrapy/scrapy,JaisPiyush,Jaiswal Piyush,0,1
scrapy/scrapy,whalebot-helmsman,Vostretsov Nikita,0,16
scrapy/scrapy,luisotaviocap98,Luis Otavio O. Capelari,0,2
scrapy/scrapy,Chunkford,,0,1
scrapy/scrapy,banagale,Rob Banagale,0,1
scrapy/scrapy,gustavo-bordin,Gustavo Bordin,0,1
scrapy/scrapy,burakcank,Burak Can Kahraman,0,2
scrapy/scrapy,elacuesta,Eugenio Lacuesta,0,146
scrapy/scrapy,divtiply,Michel Ace,0,2
scrapy/scrapy,FilipePintoReis,Filipe Pinto Reis,0,2
scrapy/scrapy,mmitropoulou,Maria Mitropoulou,0,1
scrapy/scrapy,spittieUM,,0,1
scrapy/scrapy,adityaa30,Aditya Kumar,0,12
scrapy/scrapy,marlenachatzigrigoriou,Marlena Chatzigrigoriou ,0,2
scrapy/scrapy,slygent,Guy Freeman,0,1
scrapy/scrapy,Gallaecio,Adrián Chaves,0,185
scrapy/scrapy,GeorgeA92,Georgiy Zatserklianyi,0,5
scrapy/scrapy,amarhod,Amar Hodzic,0,1
scrapy/scrapy,lamby,Chris Lamb,0,1
scrapy/scrapy,WinterComes,,0,4
scrapy/scrapy,alepuccetti,Alessandro Puccetti,0,1
scrapy/scrapy,bkayranci,Türkalp Burak KAYRANCIOĞLU,0,1
scrapy/scrapy,gabrielztk,,0,1
scrapy/scrapy,realslimshanky,Shashank Kumar,0,1
scrapy/scrapy,wRAR,Andrey Rahmatullin,0,48
scrapy/scrapy,inspurwusixuan,Sixuan (Cherie) Wu,0,1
scrapy/scrapy,CheungChan,阿章,0,1
scrapy/scrapy,eumiro,Miroslav Šedivý,0,3
scrapy/scrapy,smellslikeml,smellslikeml,0,1
scrapy/scrapy,AKSHAYSHARMAJS,Akshay Sharma,0,8
scrapy/scrapy,wgobrien,Will O'Brien,0,1
scrapy/scrapy,IkramKhanNiazi,M Ikram Ullah Khan,0,2
scrapy/scrapy,moeinkm,Moein,0,1
scrapy/scrapy,azenkwed,Kader DJEHAF,0,7
scrapy/scrapy,dswij,,0,2
scrapy/scrapy,Kromitvs,,0,1
scrapy/scrapy,dasdachs,Jani Šumak,0,1
scrapy/scrapy,trentbuck,Trent W. Buck,0,1
scrapy/scrapy,PyCatFish,,0,2
scrapy/scrapy,joaquingx,joaquin garmendia,0,3
scrapy/scrapy,soumallyadev07,Soumallya Dev,0,2
scrapy/scrapy,gaodeng,gaodeng,0,1
scrapy/scrapy,bulatbulat48,Bulat Khabibullin,0,3
scrapy/scrapy,noviluni,Marc Hernández,0,28
scrapy/scrapy,qwlake,qwlake,0,1
scrapy/scrapy,ANT0x1,Tony,0,1
scrapy/scrapy,trand22,,0,1
scrapy/scrapy,3Dook,,0,1
scrapy/scrapy,michalp2213,Michał Panek,0,4
scrapy/scrapy,longkyle,Kyle,0,1
scrapy/scrapy,ClausAndersen,Claus Andersen,0,1
scrapy/scrapy,rindhane,iRahul,0,2
scrapy/scrapy,faizan2700,,0,2
scrapy/scrapy,vortexkd,Chinnapa,0,1
scrapy/scrapy,joybh98,Joy Bhalla,0,4
scrapy/scrapy,matsievskiysv,Matsievskiy S.V.,0,5
scrapy/scrapy,hanguofeng,玄猫,0,2
scrapy/scrapy,asimhashmi,Syed Asim Hashmi,0,1
scrapy/scrapy,leobalestri,,0,1
scrapy/scrapy,panjacek,pan Jacek,0,1
scrapy/scrapy,petervandenabeele,Peter Vandenabeele,0,4
scrapy/scrapy,KristobalJunta,Eugene,0,4
scrapy/scrapy,prajwalchoudhry,Prajwal Choudhry ,0,2
scrapy/scrapy,mirceachira,Mircea Chira,0,1
scrapy/scrapy,Endi1,Endi Sukaj,0,1
scrapy/scrapy,grammy-jiang,Grammy Jiang,0,14
scrapy/scrapy,GeniusLearner,Sanchit Khurana,0,1
scrapy/scrapy,heylouiz,Luiz Francisco Rodrigues da Silva,0,2
scrapy/scrapy,tianhuil,Michael Li,0,2
scrapy/scrapy,helen-c,,0,1
scrapy/scrapy,BurnzZ,Kevin Lloyd Bernal,0,4
scrapy/scrapy,pauloromeira,Paulo Romeira,0,1
scrapy/scrapy,yernsun,Yern Sun,0,1
scrapy/scrapy,victor-torres,Victor Torres,0,8
scrapy/scrapy,NewUserHa,,0,3
scrapy/scrapy,ambarmendez,Ambar,0,1
scrapy/scrapy,amardeep24,Amardeep Bhowmick,0,4
scrapy/scrapy,VorBoto,,0,3
scrapy/scrapy,anubhavp28,Anubhav Patel,0,14
scrapy/scrapy,jachang820,Jonathan Chang,0,1
scrapy/scrapy,sbs2001,Shivam Sandbhor,0,10
scrapy/scrapy,ghost,Deleted user,2,10
scrapy/scrapy,phrfpeixoto,Pedro Peixoto,0,1
scrapy/scrapy,ljm9104,雪竺轩,0,1
scrapy/scrapy,Ksianka,Oksana,0,1
scrapy/scrapy,claudred,Claudia,0,2
scrapy/scrapy,ryoungblom,,0,1
scrapy/scrapy,Granitosaurus,Bernardas Ališauskas,2,5
scrapy/scrapy,Gravellent,,0,2
scrapy/scrapy,apalala,Juancarlo Añez,0,1
scrapy/scrapy,kasun,Kasun Herath,0,6
scrapy/scrapy,ttilberg,Tim Tilberg,0,1
scrapy/scrapy,silviaclaire,Claire Yan,0,1
scrapy/scrapy,HyunTruth,Hyun Jin Lee,0,1
scrapy/scrapy,hiddenWarrior,mostafa,0,1
scrapy/scrapy,mouchh,Cyril Mouchel,0,1
scrapy/scrapy,ejulio,Júlio César Batista,0,5
scrapy/scrapy,eLRuLL,Raul Gallegos,1,7
scrapy/scrapy,arimbr,Ari Bajo,0,1
scrapy/scrapy,ThunderMind2019,ThunderMind,0,2
scrapy/scrapy,nasirhjafri,Nasir Hussain,0,2
scrapy/scrapy,stranac,,0,1
scrapy/scrapy,maramsumanth,Maram Sumanth,0,14
scrapy/scrapy,soubenz,Soufiane Benzaoui,0,1
scrapy/scrapy,wzyboy,Zhuoyun Wei,0,1
scrapy/scrapy,epayet,Emmanuel Payet,0,1
scrapy/scrapy,guillaume-humbert,Guillaume Humbert,0,1
scrapy/scrapy,lopuhin,Konstantin Lopuhin,3,25
scrapy/scrapy,zssing,,0,1
scrapy/scrapy,nctl144,Chau Tung Lam Nguyen,0,7
scrapy/scrapy,ionut-ciubotariu,Ionut-Cezar Ciubotariu,0,1
scrapy/scrapy,nyov,,34,24
scrapy/scrapy,kalombos,Nikolay,0,1
scrapy/scrapy,yashrsharma44,Yash Sharma,0,5
scrapy/scrapy,dingld,,0,1
scrapy/scrapy,rennerocha,Renne Rocha,0,5
scrapy/scrapy,aarandag,,0,1
scrapy/scrapy,yaamas,Yahyaa M,0,1
scrapy/scrapy,fbergen,Fredrik Bergenlid,0,2
scrapy/scrapy,wangrenlei,WangJian,0,1
scrapy/scrapy,dyeray,Domingo Yeray Rodríguez Martín,0,1
scrapy/scrapy,IAlwaysBeCoding,IAlwaysBeCoding,0,2
scrapy/scrapy,vincent-ferotin,Vincent Férotin,0,1
scrapy/scrapy,leonardfrank,Frank Wang,0,1
scrapy/scrapy,nichgaun,,0,1
scrapy/scrapy,radostyle,Jonathan Alvarado,0,1
scrapy/scrapy,Lam17,,0,1
scrapy/scrapy,aprasanna,Arvind Prasanna,0,1
scrapy/scrapy,malikrohit16,Rohit,0,1
scrapy/scrapy,ViralMehtaSWE,Viral Mehta,0,3
scrapy/scrapy,cathalgarvey,Cathal Garvey,0,2
scrapy/scrapy,tchiotludo,Ludovic DEHON,0,1
scrapy/scrapy,BrandonSmithJ,Brandon Smith,0,1
scrapy/scrapy,parlays,,0,1
scrapy/scrapy,jslay88,,0,1
scrapy/scrapy,mylh,Dmitry,0,1
scrapy/scrapy,chainly,,0,4
scrapy/scrapy,isra17,Israël Hallé,0,3
scrapy/scrapy,starrify,Peng-Yu Chen,4,10
scrapy/scrapy,immerrr,immerrr again,1,4
scrapy/scrapy,aitoehigie,Ehigie Aito,0,1
scrapy/scrapy,kaplun,Samuele Kaplun,0,1
scrapy/scrapy,phnk,,0,1
scrapy/scrapy,mGalarnyk,Michael Galarnyk,0,1
scrapy/scrapy,HarrisonGregg,Harrison,0,2
scrapy/scrapy,redapple,Paul Tremberth,37,199
scrapy/scrapy,sergiobellon,Sergio Bellon,0,1
