repository_url,user_login,user_name,n_pr_before_coc,n_pr_after_coc
tikv/tikv,TennyZhuang,庄天翼,2,18
tikv/tikv,NingLin-P,,0,92
tikv/tikv,gengliqi,Liqi Geng,0,88
tikv/tikv,ti-srebot,,0,382
tikv/tikv,brson,Brian Anderson,9,121
tikv/tikv,jyz0309,Alkaid Jiang,0,5
tikv/tikv,wshwsh12,Shenghui Wu,0,17
tikv/tikv,winoros,Yiding Cui,2,7
tikv/tikv,hicqu,qupeng,126,199
tikv/tikv,MrCroxx,Croxx,0,3
tikv/tikv,iosmanthus,Iosmanthus Teng,0,56
tikv/tikv,purelind,Lifu Wu,0,1
tikv/tikv,overvenus,Neil Shen,275,153
tikv/tikv,tier-cap,,0,1
tikv/tikv,sticnarf,Yilin Chen,0,167
tikv/tikv,hunterlxt,Xintao,0,71
tikv/tikv,Connor1996,Connor,56,122
tikv/tikv,Yisaer,Song Gao,0,4
tikv/tikv,hbina,Hanif Ariffin,0,6
tikv/tikv,dianqihanwangzi,,0,1
tikv/tikv,cfzjywxk,cfzjywxk,0,7
tikv/tikv,Little-Wallace,Wallace,0,99
tikv/tikv,jespino,Jesús Espino,0,1
tikv/tikv,5kbpers,5kbpers,0,145
tikv/tikv,Leavrth,liaojj,0,2
tikv/tikv,BusyJay,Jay,581,178
tikv/tikv,catenacyber,Catena cyber,0,1
tikv/tikv,zhongzc,Zhenchi,0,33
tikv/tikv,liuzix,Zixiong Liu,0,7
tikv/tikv,iliveforfun,jerry zhu,0,2
tikv/tikv,TszKitLo40,Zijie Lu,0,7
tikv/tikv,djinn,Supreet Sethi,0,1
tikv/tikv,CheneyDing,Cheney Ding,0,1
tikv/tikv,ZhenhanGong,Zhenhan Gong,0,1
tikv/tikv,yiwu-arbug,,0,96
tikv/tikv,gregwebs,Greg Weber,5,25
tikv/tikv,pvid,Pavol Vidlička,0,3
tikv/tikv,MyonKeminta,,52,111
tikv/tikv,youjiali1995,Lei Zhao,0,163
tikv/tikv,yah01,,0,2
tikv/tikv,andylokandy,Andy Lok,0,37
tikv/tikv,tennix,Tennix,2,1
tikv/tikv,FateTHarlaown,,0,10
tikv/tikv,xuhui-lu,Xuhui Lu,0,2
tikv/tikv,idoqo,Michael Okoko,0,1
tikv/tikv,3pointer,3pointer,0,29
tikv/tikv,kennytm,,2,63
tikv/tikv,xiongjiwei,,0,5
tikv/tikv,vn-ki,Vishnunarayan K I,0,4
tikv/tikv,zhangjinpeng1987,,232,67
tikv/tikv,innerr,Liu Cong,0,10
tikv/tikv,nilideal,homomorphic,0,1
tikv/tikv,skyzh,Alex Chi,0,32
tikv/tikv,hskang9,Hyungsuk Kang,0,2
tikv/tikv,lhy1024,,0,25
tikv/tikv,Fullstop000,Fullstop000,1,15
tikv/tikv,sre-bot,pingcap-github-bot,0,287
tikv/tikv,rleungx,Ryan Leung,10,16
tikv/tikv,jayzhan211,Zhi-Jie (Jay) Zhan,0,1
tikv/tikv,breeswish,Wenxuan,124,218
tikv/tikv,yufeiminds,Yufei Li,0,1
tikv/tikv,YKG,Kaige Ye,0,9
tikv/tikv,lonng,Lonng,0,76
tikv/tikv,skyitachi,skyitachi,0,2
tikv/tikv,silathdiir,Steven,0,2
tikv/tikv,ZiheLiu,zihe.liu,0,6
tikv/tikv,pentium3,pentium3,0,4
tikv/tikv,chacha923,chacha923,0,2
tikv/tikv,jadireddi,Jagadesh Adireddi,0,3
tikv/tikv,gauss1314,,0,13
tikv/tikv,MaiCw4J,Mak,0,19
tikv/tikv,mapleFU,mwish,0,24
tikv/tikv,jingyugao,gaojingyu,0,2
