repository_url,user_login,user_name,user_location,pull_number,pull_current_state,pull_creation_date,pull_closing_date,pull_merged,pull_merge_date,pull_comment_count
mozilla/pdf.js,Snuffleupagus,Jonas Jenwald,"Stockholm, Sweden",13577,open,2021-06-17 16:15:04,,False,,0
mozilla/pdf.js,calixteman,,,13573,open,2021-06-17 10:06:53,,False,,0
mozilla/pdf.js,calixteman,,,13523,open,2021-06-09 12:29:30,,False,,0
mozilla/pdf.js,calixteman,,,13424,open,2021-05-23 17:16:50,,False,,9
mozilla/pdf.js,calixteman,,,13261,open,2021-04-18 21:42:59,,False,,23
mozilla/pdf.js,calixteman,,,13006,open,2021-02-20 16:04:14,,False,,8
mozilla/pdf.js,calixteman,,,12698,open,2020-12-06 19:13:38,,False,,0
mozilla/pdf.js,henrywarhurst,Henry Warhurst,,12627,open,2020-11-16 04:26:22,,False,,10
mozilla/pdf.js,Snuffleupagus,Jonas Jenwald,"Stockholm, Sweden",12563,open,2020-11-02 10:07:05,,False,,0
mozilla/pdf.js,baloone,Mohamed H,Paris,12438,open,2020-10-03 01:29:54,,False,,27
mozilla/pdf.js,brendandahl,Brendan Dahl,"San Francisco, CA",12165,open,2020-08-04 01:22:14,,False,,1
mozilla/pdf.js,huang325,Yuzhe Huang,,11929,open,2020-05-24 22:02:05,,False,,0
mozilla/pdf.js,CIE81,Ioan Cucerzan,"Philadelphia, PA",11783,open,2020-04-06 04:15:14,,False,,2
mozilla/pdf.js,dgoiko,,,11749,open,2020-03-25 23:48:08,,False,,0
mozilla/pdf.js,jezhou,Jesse Zhou,San Francisco,11580,open,2020-02-10 09:01:27,,False,,0
mozilla/pdf.js,bryanph,Bryan Haakman,,10954,open,2019-07-08 17:46:49,,False,,0
mozilla/pdf.js,brianholleibm,,,10016,open,2018-08-27 21:37:15,,False,,11
mozilla/pdf.js,apoorv-mishra,Apoorv Mishra,India,9255,open,2017-12-09 13:59:31,,False,,30
mozilla/pdf.js,calixteman,,,13576,closed,2021-06-17 14:54:24,2021-06-17 15:47:18,True,2021-06-17 15:47:18,0
mozilla/pdf.js,calixteman,,,13575,closed,2021-06-17 13:48:45,2021-06-17 13:56:27,True,2021-06-17 13:56:27,0
mozilla/pdf.js,calixteman,,,13570,closed,2021-06-16 18:19:10,2021-06-17 07:09:59,True,2021-06-17 07:09:59,0
mozilla/pdf.js,calixteman,,,13569,closed,2021-06-16 15:29:39,2021-06-16 16:55:44,True,2021-06-16 16:55:44,0
mozilla/pdf.js,calixteman,,,13566,closed,2021-06-16 14:18:13,2021-06-17 20:23:28,True,2021-06-17 20:23:28,0
mozilla/pdf.js,brendandahl,Brendan Dahl,"San Francisco, CA",13565,closed,2021-06-15 21:01:49,2021-06-17 03:07:57,True,2021-06-17 03:07:57,1
mozilla/pdf.js,Snuffleupagus,Jonas Jenwald,"Stockholm, Sweden",13563,closed,2021-06-15 10:17:04,2021-06-15 10:38:42,True,2021-06-15 10:38:42,0
mozilla/pdf.js,calixteman,,,13560,closed,2021-06-14 19:53:37,2021-06-17 13:05:58,True,2021-06-17 13:05:58,4
mozilla/pdf.js,calixteman,,,13559,closed,2021-06-14 11:13:32,2021-06-14 12:21:04,True,2021-06-14 12:21:04,0
mozilla/pdf.js,dittyroma,,,13558,closed,2021-06-14 09:42:53,2021-06-14 10:19:58,False,,0
mozilla/pdf.js,calixteman,,,13557,closed,2021-06-14 09:34:34,2021-06-14 10:17:45,True,2021-06-14 10:17:45,0
mozilla/pdf.js,calixteman,,,13555,closed,2021-06-13 17:51:35,2021-06-14 08:53:17,True,2021-06-14 08:53:17,0
mozilla/pdf.js,calixteman,,,13554,closed,2021-06-13 17:02:48,2021-06-15 16:16:19,True,2021-06-15 16:16:19,0
mozilla/pdf.js,Snuffleupagus,Jonas Jenwald,"Stockholm, Sweden",13552,closed,2021-06-13 08:11:08,2021-06-13 11:31:54,True,2021-06-13 11:31:54,0
mozilla/pdf.js,Snuffleupagus,Jonas Jenwald,"Stockholm, Sweden",13549,closed,2021-06-12 06:22:30,2021-06-12 09:47:04,True,2021-06-12 09:47:04,0
mozilla/pdf.js,calixteman,,,13548,closed,2021-06-11 16:05:04,2021-06-13 12:11:22,True,2021-06-13 12:11:22,2
mozilla/pdf.js,calixteman,,,13547,closed,2021-06-11 15:53:19,2021-06-11 20:09:43,True,2021-06-11 20:09:43,0
mozilla/pdf.js,Snuffleupagus,Jonas Jenwald,"Stockholm, Sweden",13546,closed,2021-06-11 15:21:08,2021-06-11 19:19:12,True,2021-06-11 19:19:11,0
mozilla/pdf.js,calixteman,,,13542,closed,2021-06-11 11:25:58,2021-06-11 15:55:55,True,2021-06-11 15:55:55,0
mozilla/pdf.js,calixteman,,,13540,closed,2021-06-11 08:03:21,2021-06-11 11:12:27,True,2021-06-11 11:12:26,2
mozilla/pdf.js,calixteman,,,13539,closed,2021-06-11 07:25:46,2021-06-11 07:53:03,True,2021-06-11 07:53:03,0
mozilla/pdf.js,calixteman,,,13534,closed,2021-06-10 15:06:41,2021-06-10 20:17:20,True,2021-06-10 20:17:20,0
mozilla/pdf.js,calixteman,,,13532,closed,2021-06-10 13:36:16,2021-06-10 19:30:49,True,2021-06-10 19:30:49,0
mozilla/pdf.js,Snuffleupagus,Jonas Jenwald,"Stockholm, Sweden",13530,closed,2021-06-10 09:14:36,2021-06-10 19:15:05,True,2021-06-10 19:15:05,3
